trial number,crosshair (start time - ms),crosshair (duration - ms),icon (filename),display icon (start time - ms),display (duration - ms),wait before (start time - ms),wait before (duration - ms),ready (start time - ms),ready (duration - ms),wait after (start time - ms),wait after (duration - ms),reproduce display (start time - ms),max reproduce display (duration - ms),perfect reproduce time (game time - ms),key down (start time - ms),too late (yes - no),difference time (duration - ms),percent error (fraction),icon category (w - l - n),icon amount (dollars),monetary outcome (dollars),payment display (start time - ms),payment display (duration - ms),running total (dollars)
1, 54878, 1426, 'icon12.jpg', 56305, 5000.0, 61309, 488, 61799, 1000, 62801, 491, 63297, 10000.0, 68297.0, 67437, 'No', -860.0, 0.172, 'Win', 5, 4.14, 67436, 490, 4.14
2, 67931, 1472, 'icon30.jpg', 69406, 3000.0, 72407, 485, 72893, 1000, 73894, 516, 74413, 6000.0, 77413.0, 76713, 'No', -700.0, 0.23333333333333334, 'Neutral', 0, 0, 76712, 476, 4.14
3, 76718, 1603, 'icon12.jpg', 78322, 5000.0, 83325, 525, 83851, 1000, 84854, 545, 85401, 10000.0, 90401.0, 89071, 'No', -1330.0, 0.266, 'Win', 5, 3.67, 89071, 502, 7.81
4, 89581, 1451, 'icon12.jpg', 91037, 5000.0, 96039, 465, 96506, 1000, 97509, 513, 98024, 10000.0, 103024.0, 102039, 'No', -985.0, 0.197, 'Win', 5, 4.015000000000001, 102038, 554, 11.825
5, 102599, 1579, 'icon50.jpg', 104179, 1000.0, 105181, 549, 105731, 1000, 106732, 516, 107253, 2000.0, 108253.0, 107784, 'No', -469.0, 0.469, 'Neutral', 0, 0, 107782, 522, 11.825
6, 107788, 1538, 'icon27.jpg', 109328, 1000.0, 110333, 476, 110810, 1000, 111814, 500, 112318, 2000.0, 113318.0, 113010, 'No', -308.0, 0.308, 'Loss', -1, -0.30800000000000005, 113009, 504, 11.517
7, 113519, 1522, 'icon12.jpg', 115041, 5000.0, 120044, 464, 120511, 1000, 121512, 513, 122026, 10000.0, 127026.0, 126184, 'No', -842.0, 0.1684, 'Win', 5, 4.158, 126183, 500, 15.675
8, 126688, 1492, 'icon17.jpg', 128183, 5000.0, 133184, 495, 133682, 1000, 134683, 530, 135217, 10000.0, 140217.0, 139309, 'No', -908.0, 0.1816, 'Loss', -5, -0.9079999999999995, 139308, 484, 14.767000000000001
9, 139799, 1481, 'icon47.jpg', 141284, 1000.0, 142287, 513, 142802, 1000, 143803, 508, 144316, 2000.0, 145316.0, 144793, 'No', -523.0, 0.523, 'Win', 1, 0.477, 144791, 511, 15.244000000000002
10, 145309, 1470, 'icon27.jpg', 146779, 1000.0, 147780, 464, 148248, 1000, 149251, 497, 149750, 2000.0, 150750.0, 150333, 'No', -417.0, 0.417, 'Loss', -1, -0.41700000000000004, 150333, 549, 14.827000000000002
11, 150888, 1527, 'icon17.jpg', 152418, 5000.0, 157421, 508, 157930, 1000, 158932, 514, 159447, 10000.0, 164447.0, 163146, 'No', -1301.0, 0.2602, 'Loss', -5, -1.3010000000000002, 163145, 499, 13.526000000000002
12, 163649, 1507, 'icon30.jpg', 165161, 3000.0, 168164, 540, 168706, 1000, 169707, 530, 170238, 6000.0, 173238.0, 172171, 'No', -1067.0, 0.3556666666666667, 'Neutral', 0, 0, 172170, 505, 13.526000000000002
13, 172177, 1531, 'icon47.jpg', 173712, 1000.0, 174713, 478, 175196, 1000, 176199, 489, 176689, 2000.0, 177689.0, 177297, 'No', -392.0, 0.392, 'Win', 1, 0.608, 177296, 511, 14.134000000000002
14, 177815, 1482, 'icon25.jpg', 179299, 3000.0, 182300, 459, 182760, 1000, 183761, 508, 184270, 6000.0, 187270.0, 185960, 'No', -1310.0, 0.43666666666666665, 'Loss', -3, -1.31, 185959, 540, 12.824000000000002
15, 186504, 1494, 'icon05.jpg', 188000, 3000.0, 191003, 492, 191496, 1000, 192498, 478, 192979, 6000.0, 195979.0, 194214, 'No', -1765.0, 0.5883333333333334, 'Win', 3, 1.235, 194214, 464, 14.059000000000001
16, 194684, 1482, 'icon50.jpg', 196169, 1000.0, 197171, 545, 197718, 1000, 198723, 494, 199220, 2000.0, 200220.0, 199751, 'No', -469.0, 0.469, 'Neutral', 0, 0, 199750, 464, 14.059000000000001
17, 199756, 1557, 'icon27.jpg', 201314, 1000.0, 202315, 498, 202815, 1000, 203817, 466, 204285, 2000.0, 205285.0, 204876, 'No', -409.0, 0.409, 'Loss', -1, -0.40900000000000003, 204875, 498, 13.65
18, 205382, 1567, 'icon17.jpg', 206952, 5000.0, 211954, 497, 212456, 1000, 213457, 530, 213988, 10000.0, 218988.0, 217949, 'No', -1039.0, 0.2078, 'Loss', -5, -1.0389999999999997, 217948, 529, 12.611
19, 218481, 1494, 'icon12.jpg', 219976, 5000.0, 224978, 466, 225445, 1000, 226448, 529, 226978, 10000.0, 231978.0, 230664, 'No', -1314.0, 0.2628, 'Win', 5, 3.686, 230663, 546, 16.297
20, 231213, 1543, 'icon17.jpg', 232756, 5000.0, 237759, 500, 238260, 1000, 239262, 500, 239765, 10000.0, 244765.0, 243581, 'No', -1184.0, 0.2368, 'Loss', -5, -1.1840000000000002, 243580, 546, 15.113
21, 244132, 1426, 'icon46.jpg', 245558, 5000.0, 250560, 500, 251063, 1000, 252068, 510, 252579, 10000.0, 257579.0, 256346, 'No', -1233.0, 0.2466, 'Neutral', 0, 0, 256345, 525, 15.113
22, 256351, 1543, 'icon46.jpg', 257895, 5000.0, 262897, 495, 263393, 1000, 264394, 545, 264943, 10000.0, 269943.0, 268906, 'No', -1037.0, 0.2074, 'Neutral', 0, 0, 268905, 505, 15.113
23, 268910, 1543, 'icon30.jpg', 270455, 3000.0, 273457, 515, 273975, 1000, 274979, 469, 275450, 6000.0, 278450.0, 277519, 'No', -931.0, 0.31033333333333335, 'Neutral', 0, 0, 277518, 554, 15.113
24, 277523, 1547, 'icon05.jpg', 279071, 3000.0, 282072, 508, 282582, 1000, 283583, 481, 284067, 6000.0, 287067.0, 286078, 'No', -989.0, 0.32966666666666666, 'Win', 3, 2.011, 286076, 498, 17.124
25, 286581, 1485, 'icon12.jpg', 288066, 5000.0, 293069, 447, 293520, 1000, 294521, 464, 294987, 10000.0, 299987.0, 298535, 'No', -1452.0, 0.2904, 'Win', 5, 3.548, 298534, 514, 20.671999999999997
26, 299055, 1453, 'icon46.jpg', 300512, 5000.0, 305513, 487, 306001, 1000, 307003, 530, 307535, 10000.0, 312535.0, 311460, 'No', -1075.0, 0.215, 'Neutral', 0, 0, 311459, 531, 20.671999999999997
27, 311468, 1453, 'icon25.jpg', 312923, 3000.0, 315924, 524, 316450, 1000, 317451, 471, 317926, 6000.0, 320926.0, 320275, 'No', -651.0, 0.217, 'Loss', -3, -0.6509999999999998, 320273, 540, 20.020999999999997
28, 320820, 1549, 'icon50.jpg', 322372, 1000.0, 323377, 504, 323882, 1000, 324883, 522, 325411, 2000.0, 326411.0, 325965, 'No', -446.0, 0.446, 'Neutral', 0, 0, 325964, 530, 20.020999999999997
29, 325969, 1493, 'icon47.jpg', 327465, 1000.0, 328467, 524, 328994, 1000, 329998, 530, 330529, 2000.0, 331529.0, 331192, 'No', -337.0, 0.337, 'Win', 1, 0.663, 331191, 530, 20.683999999999997
30, 331728, 1481, 'icon05.jpg', 333211, 3000.0, 336214, 491, 336708, 1000, 337710, 507, 338218, 6000.0, 341218.0, 340933, 'No', -285.0, 0.095, 'Win', 3, 2.715, 340932, 525, 23.398999999999997
31, 341462, 1570, 'icon27.jpg', 343032, 1000.0, 344033, 491, 344525, 1000, 345528, 484, 346015, 2000.0, 347015.0, 346725, 'No', -290.0, 0.29, 'Loss', -1, -0.29000000000000004, 346725, 545, 23.108999999999998
32, 347279, 1527, 'icon27.jpg', 348806, 1000.0, 349807, 497, 350307, 1000, 351310, 449, 351762, 2000.0, 352762.0, 352567, 'No', -195.0, 0.195, 'Loss', -1, -0.19499999999999995, 352566, 524, 22.913999999999998
33, 353095, 1493, 'icon47.jpg', 354588, 1000.0, 355592, 466, 356059, 1000, 357062, 476, 357540, 2000.0, 358540.0, 358157, 'No', -383.0, 0.383, 'Win', 1, 0.617, 358156, 512, 23.531
34, 358677, 1522, 'icon50.jpg', 360199, 1000.0, 361203, 524, 361729, 1000, 362732, 525, 363258, 2000.0, 364258.0, 364256, 'No', -2.0, 0.002, 'Neutral', 0, 0, 364255, 515, 23.531
35, 364260, 1455, 'icon05.jpg', 365717, 3000.0, 368720, 524, 369246, 1000, 370250, 466, 370723, 6000.0, 373723.0, 373176, 'No', -547.0, 0.18233333333333332, 'Win', 3, 2.453, 373176, 464, 25.983999999999998
36, 373648, 1549, 'icon05.jpg', 375197, 3000.0, 378199, 515, 378718, 1000, 379722, 503, 380227, 6000.0, 383227.0, 382920, 'No', -307.0, 0.10233333333333333, 'Win', 3, 2.6929999999999996, 382920, 508, 28.677
37, 383434, 1527, 'icon25.jpg', 384964, 3000.0, 387965, 498, 388469, 1000, 389472, 512, 389987, 6000.0, 392987.0, 392658, 'No', -329.0, 0.10966666666666666, 'Loss', -3, -0.3290000000000002, 392657, 504, 28.348
38, 393169, 1436, 'icon50.jpg', 394607, 1000.0, 395610, 487, 396098, 1000, 397101, 508, 397612, 2000.0, 398612.0, 398196, 'No', -416.0, 0.416, 'Neutral', 0, 0, 398195, 507, 28.348
39, 398204, 1451, 'icon30.jpg', 399655, 3000.0, 402658, 529, 403190, 1000, 404191, 498, 404693, 6000.0, 407693.0, 407423, 'No', -270.0, 0.09, 'Neutral', 0, 0, 407422, 481, 28.348
40, 407427, 1470, 'icon47.jpg', 408900, 1000.0, 409902, 546, 410452, 1000, 411455, 505, 411961, 2000.0, 412961.0, 412602, 'No', -359.0, 0.359, 'Win', 1, 0.641, 412601, 503, 28.988999999999997
41, 413108, 1557, 'icon17.jpg', 414669, 5000.0, 419673, 491, 420167, 1000, 421171, 512, 421686, 10000.0, 426686.0, 425518, 'No', -1168.0, 0.2336, 'Loss', -5, -1.1680000000000001, 425517, 540, 27.820999999999998
42, 426065, 1508, 'icon27.jpg', 427573, 1000.0, 428575, 495, 429072, 1000, 430075, 530, 430608, 2000.0, 431608.0, 431720, 'No', 112.0, 0.112, 'Loss', -1, -0.11199999999999999, 431720, 512, 27.709
43, 432238, 1487, 'icon47.jpg', 433728, 1000.0, 434731, 502, 435237, 1000, 436239, 529, 436770, 2000.0, 437770.0, 437414, 'No', -356.0, 0.356, 'Win', 1, 0.644, 437412, 540, 28.352999999999998
44, 437959, 1558, 'icon47.jpg', 439520, 1000.0, 440522, 500, 441024, 1000, 442026, 511, 442540, 2000.0, 443540.0, 442949, 'No', -591.0, 0.591, 'Win', 1, 0.409, 442948, 502, 28.761999999999997
45, 443455, 1427, 'icon27.jpg', 444882, 1000.0, 445884, 478, 446363, 1000, 447366, 478, 447846, 2000.0, 448846.0, 448432, 'No', -414.0, 0.414, 'Loss', -1, -0.41400000000000003, 448432, 476, 28.347999999999995
46, 448916, 1487, 'icon05.jpg', 450406, 3000.0, 453411, 465, 453878, 1000, 454879, 545, 455426, 6000.0, 458426.0, 458171, 'No', -255.0, 0.085, 'Win', 3, 2.745, 458171, 505, 31.092999999999996
