trial number,crosshair (start time - ms),crosshair (duration - ms),icon (filename),display icon (start time - ms),display (duration - ms),wait before (start time - ms),wait before (duration - ms),ready (start time - ms),ready (duration - ms),wait after (start time - ms),wait after (duration - ms),reproduce display (start time - ms),max reproduce display (duration - ms),perfect reproduce time (game time - ms),key down (start time - ms),too late (yes - no),difference time (duration - ms),percent error (fraction),icon category (w - l - n),icon amount (dollars),monetary outcome (dollars),payment display (start time - ms),payment display (duration - ms),running total (dollars)
1, 24375, 1541, 'icon18.jpg', 25919, 3000.0, 28920, 524, 29445, 1000, 30448, 517, 30969, 6000.0, 33969.0, 33432, 'No', -537.0, 0.179, 'Loss', -3, -0.5369999999999999, 33431, 498, -0.5369999999999999
2, 33938, 1532, 'icon03.jpg', 35472, 5000.0, 40475, 466, 40943, 1000, 41946, 515, 42463, 10000.0, 47463.0, 46659, 'No', -804.0, 0.1608, 'Neutral', 0, 0, 46658, 516, -0.5369999999999999
3, 46664, 1470, 'icon07.jpg', 48134, 5000.0, 53137, 488, 53626, 1000, 54628, 495, 55127, 10000.0, 60127.0, 59834, 'No', -293.0, 0.0586, 'Loss', -5, -0.29300000000000015, 59833, 522, -0.8300000000000001
4, 60360, 1541, 'icon21.jpg', 61902, 3000.0, 64905, 517, 65424, 1000, 66427, 493, 66922, 6000.0, 69922.0, 68600, 'No', -1322.0, 0.44066666666666665, 'Neutral', 0, 0, 68599, 519, -0.8300000000000001
5, 68604, 1485, 'icon03.jpg', 70092, 5000.0, 75096, 488, 75587, 1000, 76588, 480, 77072, 10000.0, 82072.0, 80851, 'No', -1221.0, 0.2442, 'Neutral', 0, 0, 80851, 483, -0.8300000000000001
6, 80855, 1485, 'icon16.jpg', 82341, 1000.0, 83344, 487, 83834, 1000, 84837, 495, 85334, 2000.0, 86334.0, 85726, 'No', -608.0, 0.608, 'Neutral', 0, 0, 85724, 477, -0.8300000000000001
7, 85731, 1456, 'icon07.jpg', 87188, 5000.0, 92189, 498, 92690, 1000, 93693, 488, 94183, 10000.0, 99183.0, 97717, 'No', -1466.0, 0.2932, 'Loss', -5, -1.4660000000000002, 97716, 491, -2.2960000000000003
8, 98215, 1502, 'icon51.jpg', 99717, 1000.0, 100721, 478, 101202, 1000, 102205, 505, 102715, 2000.0, 103715.0, 103102, 'No', -613.0, 0.613, 'Loss', -1, -0.613, 103102, 524, -2.9090000000000003
9, 103635, 1494, 'icon51.jpg', 105130, 1000.0, 106133, 454, 106589, 1000, 107594, 499, 108097, 2000.0, 109097.0, 108585, 'No', -512.0, 0.512, 'Loss', -1, -0.512, 108585, 493, -3.4210000000000003
10, 109085, 1429, 'icon07.jpg', 110514, 5000.0, 115517, 466, 115985, 1000, 116986, 453, 117443, 10000.0, 122443.0, 120943, 'No', -1500.0, 0.3, 'Loss', -5, -1.5, 120941, 523, -4.921
11, 121468, 1456, 'icon18.jpg', 122926, 3000.0, 125929, 487, 126419, 1000, 127425, 505, 127932, 6000.0, 130932.0, 129759, 'No', -1173.0, 0.391, 'Loss', -3, -1.173, 129758, 488, -6.094
12, 130254, 1562, 'icon38.jpg', 131818, 3000.0, 134820, 558, 135381, 1000, 136385, 487, 136876, 6000.0, 139876.0, 138575, 'No', -1301.0, 0.43366666666666664, 'Win', 3, 1.699, 138574, 526, -4.3950000000000005
13, 139107, 1492, 'icon07.jpg', 140601, 5000.0, 145606, 516, 146124, 1000, 147128, 476, 147606, 10000.0, 152606.0, 151292, 'No', -1314.0, 0.2628, 'Loss', -5, -1.314, 151291, 490, -5.7090000000000005
14, 151790, 1521, 'icon21.jpg', 153313, 3000.0, 156315, 491, 156810, 1000, 157813, 487, 158305, 6000.0, 161305.0, 160414, 'No', -891.0, 0.297, 'Neutral', 0, 0, 160414, 498, -5.7090000000000005
15, 160419, 1546, 'icon07.jpg', 161965, 5000.0, 166971, 476, 167448, 1000, 168453, 526, 168981, 10000.0, 173981.0, 172256, 'No', -1725.0, 0.345, 'Loss', -5, -1.7249999999999996, 172255, 495, -7.434
16, 172757, 1446, 'icon18.jpg', 174204, 3000.0, 177206, 490, 177703, 1000, 178706, 524, 179233, 6000.0, 182233.0, 181023, 'No', -1210.0, 0.4033333333333333, 'Loss', -3, -1.21, 181023, 470, -8.644
17, 181498, 1536, 'icon18.jpg', 183035, 3000.0, 186036, 491, 186529, 1000, 187530, 522, 188053, 6000.0, 191053.0, 189944, 'No', -1109.0, 0.36966666666666664, 'Loss', -3, -1.109, 189943, 495, -9.753
18, 190443, 1546, 'icon16.jpg', 191992, 1000.0, 192994, 480, 193477, 1000, 194481, 497, 194983, 2000.0, 195983.0, 195735, 'No', -248.0, 0.248, 'Neutral', 0, 0, 195734, 490, -9.753
19, 195739, 1529, 'icon21.jpg', 197269, 3000.0, 200270, 491, 200762, 1000, 201766, 515, 202285, 6000.0, 205285.0, 204454, 'No', -831.0, 0.277, 'Neutral', 0, 0, 204454, 521, -9.753
20, 204458, 1432, 'icon07.jpg', 205890, 5000.0, 210891, 510, 211402, 1000, 212406, 524, 212934, 10000.0, 217934.0, 216909, 'No', -1025.0, 0.205, 'Loss', -5, -1.025, 216908, 506, -10.778
21, 217419, 1521, 'icon16.jpg', 218943, 1000.0, 219947, 453, 220404, 1000, 221407, 522, 221932, 2000.0, 222932.0, 222599, 'No', -333.0, 0.333, 'Neutral', 0, 0, 222598, 513, -10.778
22, 222603, 1535, 'icon16.jpg', 224138, 1000.0, 225142, 495, 225639, 1000, 226643, 454, 227099, 2000.0, 228099.0, 227826, 'No', -273.0, 0.273, 'Neutral', 0, 0, 227825, 486, -10.778
23, 227831, 1497, 'icon36.jpg', 229332, 5000.0, 234336, 484, 234824, 1000, 235829, 490, 236321, 10000.0, 241321.0, 240183, 'No', -1138.0, 0.2276, 'Win', 5, 3.862, 240183, 490, -6.916
24, 240681, 1521, 'icon07.jpg', 242202, 5000.0, 247205, 484, 247691, 1000, 248696, 497, 249194, 10000.0, 254194.0, 253411, 'No', -783.0, 0.1566, 'Loss', -5, -0.7829999999999995, 253411, 462, -7.699
25, 253878, 1471, 'icon38.jpg', 255351, 3000.0, 258353, 515, 258872, 1000, 259877, 510, 260393, 6000.0, 263393.0, 262737, 'No', -656.0, 0.21866666666666668, 'Win', 3, 2.344, 262736, 461, -5.355
26, 263203, 1497, 'icon18.jpg', 264702, 3000.0, 267704, 460, 268165, 1000, 269166, 543, 269713, 6000.0, 272713.0, 272530, 'No', -183.0, 0.061, 'Loss', -3, -0.18300000000000027, 272529, 494, -5.538
27, 273030, 1452, 'icon30.jpg', 274484, 1000.0, 275485, 487, 275974, 1000, 276978, 491, 277471, 2000.0, 278471.0, 278066, 'No', -405.0, 0.405, 'Win', 1, 0.595, 278065, 506, -4.9430000000000005
28, 278577, 1506, 'icon30.jpg', 280083, 1000.0, 281085, 499, 281586, 1000, 282591, 476, 283069, 2000.0, 284069.0, 283859, 'No', -210.0, 0.21, 'Win', 1, 0.79, 283858, 519, -4.1530000000000005
29, 284383, 1534, 'icon38.jpg', 285917, 3000.0, 288923, 495, 289422, 1000, 290425, 521, 290950, 6000.0, 293950.0, 292984, 'No', -966.0, 0.322, 'Win', 3, 2.0340000000000003, 292983, 490, -2.119
30, 293478, 1507, 'icon18.jpg', 294986, 3000.0, 297988, 453, 298443, 1000, 299444, 510, 299959, 6000.0, 302959.0, 302212, 'No', -747.0, 0.249, 'Loss', -3, -0.7469999999999999, 302212, 461, -2.866
31, 302681, 1507, 'icon18.jpg', 304188, 3000.0, 307191, 499, 307693, 1000, 308694, 515, 309212, 6000.0, 312212.0, 311747, 'No', -465.0, 0.155, 'Loss', -3, -0.46499999999999986, 311746, 517, -3.331
32, 312268, 1515, 'icon38.jpg', 313787, 3000.0, 316790, 500, 317293, 1000, 318296, 488, 318786, 6000.0, 321786.0, 321487, 'No', -299.0, 0.09966666666666667, 'Win', 3, 2.701, 321486, 490, -0.6299999999999999
33, 321982, 1557, 'icon18.jpg', 323539, 3000.0, 326543, 453, 326997, 1000, 328003, 488, 328492, 6000.0, 331492.0, 331332, 'No', -160.0, 0.05333333333333334, 'Loss', -3, -0.16000000000000014, 331331, 526, -0.79
34, 331865, 1577, 'icon21.jpg', 333443, 3000.0, 336447, 460, 336908, 1000, 337910, 516, 338427, 6000.0, 341427.0, 340818, 'No', -609.0, 0.203, 'Neutral', 0, 0, 340817, 497, -0.79
35, 340822, 1494, 'icon36.jpg', 342317, 5000.0, 347320, 456, 347777, 1000, 348779, 558, 349341, 10000.0, 354341.0, 353940, 'No', -401.0, 0.0802, 'Win', 5, 4.599, 353939, 524, 3.809
36, 354472, 1505, 'icon21.jpg', 355977, 3000.0, 358981, 487, 359471, 1000, 360472, 495, 360970, 6000.0, 363970.0, 363472, 'No', -498.0, 0.166, 'Neutral', 0, 0, 363472, 495, 3.809
37, 363476, 1541, 'icon16.jpg', 365018, 1000.0, 366021, 494, 366516, 1000, 367517, 477, 367997, 2000.0, 368997.0, 369112, 'No', 115.0, 0.115, 'Neutral', 0, 0, 369111, 484, 3.809
38, 369116, 1515, 'icon18.jpg', 370633, 3000.0, 373634, 516, 374153, 1000, 375156, 466, 375623, 6000.0, 378623.0, 378497, 'No', -126.0, 0.042, 'Loss', -3, -0.12600000000000033, 378496, 516, 3.683
39, 379019, 1494, 'icon07.jpg', 380513, 5000.0, 385516, 490, 386007, 1000, 387013, 490, 387505, 10000.0, 392505.0, 392646, 'No', 141.0, 0.0282, 'Loss', -5, -0.14100000000000001, 392645, 491, 3.542
40, 393144, 1456, 'icon38.jpg', 394600, 3000.0, 397604, 517, 398122, 1000, 399127, 498, 399630, 6000.0, 402630.0, 402229, 'No', -401.0, 0.13366666666666666, 'Win', 3, 2.5989999999999998, 402229, 456, 6.141
41, 402690, 1550, 'icon36.jpg', 404243, 5000.0, 409246, 515, 409763, 1000, 410764, 454, 411221, 10000.0, 416221.0, 416176, 'No', -45.0, 0.009, 'Win', 5, 4.955, 416174, 495, 11.096
42, 416675, 1546, 'icon51.jpg', 418221, 1000.0, 419225, 480, 419710, 1000, 420714, 454, 421170, 2000.0, 422170.0, 422173, 'No', 3.0, 0.003, 'Loss', -1, -0.0030000000000000027, 422171, 477, 11.093
43, 422655, 1534, 'icon18.jpg', 424193, 3000.0, 427196, 499, 427697, 1000, 428698, 508, 429207, 6000.0, 432207.0, 431962, 'No', -245.0, 0.08166666666666667, 'Loss', -3, -0.2450000000000001, 431962, 461, 10.847999999999999
