trial number,crosshair (start time - ms),crosshair (duration - ms),icon (filename),display icon (start time - ms),display (duration - ms),wait before (start time - ms),wait before (duration - ms),ready (start time - ms),ready (duration - ms),wait after (start time - ms),wait after (duration - ms),reproduce display (start time - ms),max reproduce display (duration - ms),perfect reproduce time (game time - ms),key down (start time - ms),too late (yes - no),difference time (duration - ms),percent error (fraction),icon category (w - l - n),icon amount (dollars),monetary outcome (dollars),payment display (start time - ms),payment display (duration - ms),running total (dollars)
1, 27656, 1490, 'icon11.jpg', 29148, 1000.0, 30149, 488, 30639, 1000, 31641, 490, 32134, 2000.0, 33134.0, 32556, 'No', -578.0, 0.578, 'Loss', -1, -0.5780000000000001, 32555, 499, -0.5780000000000001
2, 33061, 1480, 'icon45.jpg', 34543, 3000.0, 37544, 514, 38059, 1000, 39062, 514, 39577, 6000.0, 42577.0, 41835, 'No', -742.0, 0.24733333333333332, 'Win', 3, 2.258, 41834, 470, 1.68
3, 42310, 1462, 'icon39.jpg', 43773, 5000.0, 48774, 549, 49325, 1000, 50330, 504, 50836, 10000.0, 55836.0, 55009, 'No', -827.0, 0.1654, 'Win', 5, 4.173, 55007, 474, 5.853
4, 55485, 1547, 'icon53.jpg', 57032, 3000.0, 60033, 512, 60548, 1000, 61551, 521, 62075, 6000.0, 65075.0, 64339, 'No', -736.0, 0.24533333333333332, 'Neutral', 0, 0, 64338, 518, 5.853
5, 64344, 1481, 'icon10.jpg', 65828, 5000.0, 70830, 502, 71335, 1000, 72339, 496, 72837, 10000.0, 77837.0, 77103, 'No', -734.0, 0.1468, 'Neutral', 0, 0, 77103, 542, 5.853
6, 77110, 1485, 'icon11.jpg', 78595, 1000.0, 79596, 505, 80103, 1000, 81109, 494, 81605, 2000.0, 82605.0, 81923, 'No', -682.0, 0.682, 'Loss', -1, -0.6819999999999999, 81921, 523, 5.170999999999999
7, 82449, 1519, 'icon26.jpg', 83969, 3000.0, 86975, 470, 87447, 1000, 88450, 505, 88956, 6000.0, 91956.0, 91611, 'No', -345.0, 0.115, 'Loss', -3, -0.34499999999999975, 91611, 460, 4.826
8, 92078, 1513, 'icon19.jpg', 93594, 1000.0, 94595, 492, 95088, 1000, 96091, 549, 96643, 2000.0, 97643.0, 97457, 'No', -186.0, 0.186, 'Neutral', 0, 0, 97456, 488, 4.826
9, 97461, 1515, 'icon10.jpg', 98978, 5000.0, 103981, 505, 104488, 1000, 105490, 514, 106009, 10000.0, 111009.0, 110273, 'No', -736.0, 0.1472, 'Neutral', 0, 0, 110271, 538, 4.826
10, 110277, 1513, 'icon26.jpg', 111792, 3000.0, 114795, 474, 115272, 1000, 116275, 470, 116746, 6000.0, 119746.0, 119548, 'No', -198.0, 0.066, 'Loss', -3, -0.19799999999999995, 119547, 478, 4.628
