trial number,crosshair (start time - ms),crosshair (duration - ms),icon (filename),display icon (start time - ms),display (duration - ms),wait before (start time - ms),wait before (duration - ms),ready (start time - ms),ready (duration - ms),wait after (start time - ms),wait after (duration - ms),reproduce display (start time - ms),max reproduce display (duration - ms),perfect reproduce time (game time - ms),key down (start time - ms),too late (yes - no),difference time (duration - ms),percent error (fraction),icon category (w - l - n),icon amount (dollars),monetary outcome (dollars),payment display (start time - ms),payment display (duration - ms),running total (dollars)
1, 32743, 1479, 'icon02.jpg', 34225, 3000.0, 37228, 544, 37777, 1000, 38778, 522, 39302, 6000.0, 42302.0, 41867, 'No', -435.0, 0.145, 'Neutral', 0, 0, 41866, 493, 0
2, 41872, 1501, 'icon11.jpg', 43377, 1000.0, 44380, 518, 44902, 1000, 45907, 519, 46429, 2000.0, 47429.0, 46893, 'No', -536.0, 0.536, 'Neutral', 0, 0, 46892, 476, 0
3, 46897, 1546, 'icon06.jpg', 48446, 5000.0, 53448, 493, 53944, 1000, 54947, 476, 55424, 10000.0, 60424.0, 59707, 'No', -717.0, 0.1434, 'Loss', -5, -0.7169999999999996, 59706, 521, -0.7169999999999996
4, 60232, 1461, 'icon37.jpg', 61695, 5000.0, 66696, 493, 67193, 1000, 68194, 513, 68709, 10000.0, 73709.0, 73448, 'No', -261.0, 0.0522, 'Win', 5, 4.739, 73447, 523, 4.022
5, 73977, 1498, 'icon43.jpg', 75475, 3000.0, 78478, 527, 79009, 1000, 80012, 536, 80550, 6000.0, 83550.0, 83599, 'No', 49.0, 0.01633333333333333, 'Loss', -3, -0.04899999999999993, 83598, 521, 3.9730000000000003
6, 84124, 1434, 'icon32.jpg', 85560, 1000.0, 86561, 473, 87037, 1000, 88040, 464, 88508, 2000.0, 89508.0, 89086, 'No', -422.0, 0.422, 'Win', 1, 0.578, 89084, 518, 4.551
7, 89606, 1459, 'icon21.jpg', 91068, 1000.0, 92071, 536, 92611, 1000, 93615, 482, 94100, 2000.0, 95100.0, 94723, 'No', -377.0, 0.377, 'Loss', -1, -0.377, 94723, 493, 4.174
8, 95223, 1469, 'icon06.jpg', 96694, 5000.0, 101696, 465, 102164, 1000, 103165, 521, 103688, 10000.0, 108688.0, 108925, 'No', 237.0, 0.0474, 'Loss', -5, -0.2370000000000001, 108925, 506, 3.9370000000000003
9, 109439, 1537, 'icon06.jpg', 110978, 5000.0, 115982, 516, 116500, 1000, 117501, 518, 118020, 10000.0, 123020.0, 123122, 'No', 102.0, 0.0204, 'Loss', -5, -0.10200000000000031, 123122, 519, 3.835
10, 123651, 1521, 'icon38.jpg', 125172, 5000.0, 130175, 479, 130656, 1000, 131659, 523, 132185, 10000.0, 137185.0, 137323, 'No', 138.0, 0.0276, 'Neutral', 0, 0, 137322, 497, 3.835
