trial number,crosshair (start time - ms),crosshair (duration - ms),icon (filename),display icon (start time - ms),display (duration - ms),wait before (start time - ms),wait before (duration - ms),ready (start time - ms),ready (duration - ms),wait after (start time - ms),wait after (duration - ms),reproduce display (start time - ms),max reproduce display (duration - ms),perfect reproduce time (game time - ms),key down (start time - ms),too late (yes - no),difference time (duration - ms),percent error (fraction),icon category (w - l - n),icon amount (dollars),monetary outcome (dollars),payment display (start time - ms),payment display (duration - ms),running total (dollars)
1, 18233, 1377, 'icon21.jpg', 19613, 3000.0, 22617, 466, 23085, 1000, 24089, 498, 24590, 6000.0, 27590.0, 26465, 'No', -1125.0, 0.375, 'Loss', -3, -1.125, 26464, 485, -1.125
2, 26955, 1487, 'icon53.jpg', 28446, 1000.0, 29450, 466, 29918, 1000, 30921, 495, 31419, 2000.0, 32419.0, 32050, 'No', -369.0, 0.369, 'Loss', -1, -0.369, 32049, 488, -1.494
3, 32545, 1471, 'icon53.jpg', 34018, 1000.0, 35021, 510, 35534, 1000, 36537, 526, 37065, 2000.0, 38065.0, 37481, 'No', -584.0, 0.584, 'Loss', -1, -0.5840000000000001, 37480, 503, -2.0780000000000003
4, 37988, 1460, 'icon21.jpg', 39451, 3000.0, 42454, 522, 42977, 1000, 43980, 518, 44499, 6000.0, 47499.0, 45685, 'No', -1814.0, 0.6046666666666667, 'Loss', -3, -1.814, 45684, 481, -3.8920000000000003
5, 46171, 1447, 'icon27.jpg', 47621, 1000.0, 48626, 543, 49172, 1000, 50173, 474, 50648, 2000.0, 51648.0, 51274, 'No', -374.0, 0.374, 'Neutral', 0, 0, 51273, 508, -3.8920000000000003
6, 51279, 1520, 'icon19.jpg', 52801, 5000.0, 57805, 454, 58263, 1000, 59266, 478, 59747, 10000.0, 64747.0, 61732, 'No', -3015.0, 0.603, 'Win', 5, 1.985, 61731, 538, -1.9070000000000003
7, 62277, 1501, 'icon19.jpg', 63781, 5000.0, 68782, 469, 69253, 1000, 70258, 463, 70724, 10000.0, 75724.0, 72909, 'No', -2815.0, 0.563, 'Win', 5, 2.185, 72908, 522, 0.2779999999999998
8, 73435, 1457, 'icon19.jpg', 74895, 5000.0, 79899, 526, 80428, 1000, 81430, 466, 81899, 10000.0, 86899.0, 84903, 'No', -1996.0, 0.3992, 'Win', 5, 3.004, 84902, 488, 3.282
9, 85398, 1463, 'icon43.jpg', 86861, 1000.0, 87862, 478, 88342, 1000, 89344, 496, 89841, 2000.0, 90841.0, 90335, 'No', -506.0, 0.506, 'Win', 1, 0.494, 90333, 508, 3.776
10, 90847, 1485, 'icon32.jpg', 92335, 5000.0, 97338, 503, 97844, 1000, 98847, 478, 99329, 10000.0, 104329.0, 101669, 'No', -2660.0, 0.532, 'Loss', -5, -2.6599999999999997, 101667, 498, 1.116
11, 102173, 1528, 'icon32.jpg', 103705, 5000.0, 108707, 495, 109205, 1000, 110209, 513, 110725, 10000.0, 115725.0, 113355, 'No', -2370.0, 0.474, 'Loss', -5, -2.37, 113354, 508, -1.254
12, 113872, 1500, 'icon32.jpg', 115375, 5000.0, 120377, 503, 120882, 1000, 121887, 474, 122363, 10000.0, 127363.0, 124990, 'No', -2373.0, 0.4746, 'Loss', -5, -2.373, 124990, 515, -3.6270000000000002
13, 125509, 1459, 'icon32.jpg', 126968, 5000.0, 131972, 477, 132450, 1000, 133452, 466, 133920, 10000.0, 138920.0, 137344, 'No', -1576.0, 0.3152, 'Loss', -5, -1.576, 137343, 480, -5.203
14, 137830, 1447, 'icon21.jpg', 139283, 3000.0, 142284, 496, 142782, 1000, 143785, 507, 144294, 6000.0, 147294.0, 146624, 'No', -670.0, 0.22333333333333333, 'Loss', -3, -0.6699999999999999, 146623, 469, -5.873
15, 147099, 1489, 'icon53.jpg', 148588, 1000.0, 149591, 510, 150104, 1000, 151107, 495, 151603, 2000.0, 152603.0, 152113, 'No', -490.0, 0.49, 'Loss', -1, -0.49, 152111, 490, -6.363
16, 152607, 1530, 'icon43.jpg', 154138, 1000.0, 155139, 495, 155636, 1000, 156638, 510, 157152, 2000.0, 158152.0, 157647, 'No', -505.0, 0.505, 'Win', 1, 0.495, 157645, 485, -5.868
17, 158135, 1543, 'icon31.jpg', 159681, 5000.0, 164682, 461, 165144, 1000, 166146, 511, 166658, 10000.0, 171658.0, 170205, 'No', -1453.0, 0.2906, 'Neutral', 0, 0, 170204, 526, -5.868
18, 170210, 1518, 'icon41.jpg', 171730, 3000.0, 174733, 504, 175240, 1000, 176245, 495, 176745, 6000.0, 179745.0, 178870, 'No', -875.0, 0.2916666666666667, 'Neutral', 0, 0, 178869, 522, -5.868
19, 178875, 1424, 'icon19.jpg', 180299, 5000.0, 185303, 500, 185804, 1000, 186806, 481, 187294, 10000.0, 192294.0, 189741, 'No', -2553.0, 0.5106, 'Win', 5, 2.447, 189740, 495, -3.4210000000000003
20, 190245, 1488, 'icon31.jpg', 191734, 5000.0, 196735, 495, 197234, 1000, 198237, 520, 198761, 10000.0, 203761.0, 202349, 'No', -1412.0, 0.2824, 'Neutral', 0, 0, 202348, 519, -3.4210000000000003
21, 202353, 1392, 'icon41.jpg', 203746, 3000.0, 206748, 519, 207271, 1000, 208275, 463, 208740, 6000.0, 211740.0, 210807, 'No', -933.0, 0.311, 'Neutral', 0, 0, 210805, 472, -3.4210000000000003
22, 210812, 1530, 'icon19.jpg', 212343, 5000.0, 217347, 481, 217829, 1000, 218832, 478, 219312, 10000.0, 224312.0, 222445, 'No', -1867.0, 0.3734, 'Win', 5, 3.133, 222444, 495, -0.28800000000000026
23, 222946, 1481, 'icon27.jpg', 224427, 1000.0, 225431, 537, 225970, 1000, 226973, 519, 227495, 2000.0, 228495.0, 227879, 'No', -616.0, 0.616, 'Neutral', 0, 0, 227878, 504, -0.28800000000000026
24, 227883, 1499, 'icon43.jpg', 229384, 1000.0, 230388, 496, 230889, 1000, 231891, 543, 232440, 2000.0, 233440.0, 232902, 'No', -538.0, 0.538, 'Win', 1, 0.462, 232900, 538, 0.17399999999999977
25, 233443, 1471, 'icon32.jpg', 234915, 5000.0, 239916, 511, 240431, 1000, 241434, 496, 241932, 10000.0, 246932.0, 245309, 'No', -1623.0, 0.3246, 'Loss', -5, -1.6230000000000002, 245309, 487, -1.4490000000000005
26, 245806, 1459, 'icon05.jpg', 247265, 3000.0, 250271, 513, 250789, 1000, 251793, 495, 252292, 6000.0, 255292.0, 254588, 'No', -704.0, 0.23466666666666666, 'Win', 3, 2.296, 254587, 512, 0.8469999999999993
27, 255107, 1495, 'icon41.jpg', 256603, 3000.0, 259604, 538, 260146, 1000, 261150, 515, 261671, 6000.0, 264671.0, 264022, 'No', -649.0, 0.21633333333333332, 'Neutral', 0, 0, 264021, 495, 0.8469999999999993
28, 264025, 1471, 'icon43.jpg', 265498, 1000.0, 266499, 488, 266989, 1000, 267990, 526, 268520, 2000.0, 269520.0, 269251, 'No', -269.0, 0.269, 'Win', 1, 0.731, 269249, 494, 1.5779999999999994
29, 269753, 1487, 'icon32.jpg', 271243, 5000.0, 276246, 502, 276752, 1000, 277756, 477, 278234, 10000.0, 283234.0, 281143, 'No', -2091.0, 0.4182, 'Loss', -5, -2.091, 281142, 510, -0.5130000000000008
30, 281656, 1473, 'icon41.jpg', 283133, 3000.0, 286136, 517, 286656, 1000, 287658, 498, 288157, 6000.0, 291157.0, 290216, 'No', -941.0, 0.31366666666666665, 'Neutral', 0, 0, 290214, 498, -0.5130000000000008
31, 290220, 1409, 'icon31.jpg', 291629, 5000.0, 296632, 481, 297118, 1000, 298121, 474, 298599, 10000.0, 303599.0, 301904, 'No', -1695.0, 0.339, 'Neutral', 0, 0, 301903, 507, -0.5130000000000008
32, 301908, 1487, 'icon32.jpg', 303398, 5000.0, 308399, 487, 308887, 1000, 309888, 515, 310404, 10000.0, 315404.0, 313595, 'No', -1809.0, 0.3618, 'Loss', -5, -1.8090000000000002, 313593, 483, -2.322000000000001
33, 314084, 1574, 'icon27.jpg', 315659, 1000.0, 316660, 466, 317131, 1000, 318134, 510, 318650, 2000.0, 319650.0, 319130, 'No', -520.0, 0.52, 'Neutral', 0, 0, 319129, 510, -2.322000000000001
34, 319133, 1469, 'icon27.jpg', 320604, 1000.0, 321607, 478, 322088, 1000, 323092, 500, 323596, 2000.0, 324596.0, 324464, 'No', -132.0, 0.132, 'Neutral', 0, 0, 324462, 519, -2.322000000000001
35, 324467, 1519, 'icon53.jpg', 325987, 1000.0, 326992, 488, 327481, 1000, 328483, 481, 328966, 2000.0, 329966.0, 329845, 'No', -121.0, 0.121, 'Loss', -1, -0.121, 329844, 522, -2.443000000000001
36, 330371, 1519, 'icon05.jpg', 331891, 3000.0, 334896, 524, 335421, 1000, 336423, 507, 336932, 6000.0, 339932.0, 338816, 'No', -1116.0, 0.372, 'Win', 3, 1.884, 338815, 496, -0.559000000000001
37, 339316, 1530, 'icon21.jpg', 340846, 3000.0, 343849, 480, 344330, 1000, 345333, 454, 345790, 6000.0, 348790.0, 349275, 'No', 485.0, 0.16166666666666665, 'Loss', -3, -0.4849999999999999, 349273, 498, -1.044000000000001
38, 349778, 1543, 'icon32.jpg', 351323, 5000.0, 356325, 480, 356810, 1000, 357812, 519, 358333, 10000.0, 363333.0, 361729, 'No', -1604.0, 0.3208, 'Loss', -5, -1.604, 361728, 490, -2.648000000000001
39, 362225, 1488, 'icon27.jpg', 363714, 1000.0, 364715, 495, 365212, 1000, 366213, 485, 366701, 2000.0, 367701.0, 367624, 'No', -77.0, 0.077, 'Neutral', 0, 0, 367624, 510, -2.648000000000001
40, 367628, 1511, 'icon31.jpg', 369139, 5000.0, 374142, 506, 374649, 1000, 375652, 487, 376143, 10000.0, 381143.0, 379929, 'No', -1214.0, 0.2428, 'Neutral', 0, 0, 379929, 495, -2.648000000000001
41, 379933, 1377, 'icon31.jpg', 381311, 5000.0, 386313, 485, 386802, 1000, 387804, 537, 388345, 10000.0, 393345.0, 391719, 'No', -1626.0, 0.3252, 'Neutral', 0, 0, 391717, 496, -2.648000000000001
42, 391723, 1469, 'icon43.jpg', 393193, 1000.0, 394195, 510, 394708, 1000, 395710, 512, 396224, 2000.0, 397224.0, 397205, 'No', -19.0, 0.019, 'Win', 1, 0.981, 397204, 510, -1.6670000000000011
43, 397721, 1543, 'icon21.jpg', 399264, 3000.0, 402270, 481, 402752, 1000, 403753, 477, 404235, 6000.0, 407235.0, 406636, 'No', -599.0, 0.19966666666666666, 'Loss', -3, -0.5990000000000002, 406635, 507, -2.2660000000000013
44, 407147, 1547, 'icon41.jpg', 408695, 3000.0, 411697, 517, 412215, 1000, 413220, 487, 413708, 6000.0, 416708.0, 415864, 'No', -844.0, 0.2813333333333333, 'Neutral', 0, 0, 415862, 537, -2.2660000000000013
45, 415869, 1495, 'icon41.jpg', 417369, 3000.0, 420373, 477, 420855, 1000, 421856, 513, 422372, 6000.0, 425372.0, 424787, 'No', -585.0, 0.195, 'Neutral', 0, 0, 424786, 495, -2.2660000000000013
46, 424790, 1526, 'icon19.jpg', 426318, 5000.0, 431322, 513, 431838, 1000, 432840, 502, 433343, 10000.0, 438343.0, 437140, 'No', -1203.0, 0.2406, 'Win', 5, 3.7969999999999997, 437139, 496, 1.5309999999999984
