trial number,crosshair (start time - ms),crosshair (duration - ms),icon (filename),display icon (start time - ms),display (duration - ms),wait before (start time - ms),wait before (duration - ms),ready (start time - ms),ready (duration - ms),wait after (start time - ms),wait after (duration - ms),reproduce display (start time - ms),max reproduce display (duration - ms),perfect reproduce time (game time - ms),key down (start time - ms),too late (yes - no),difference time (duration - ms),percent error (fraction),icon category (w - l - n),icon amount (dollars),monetary outcome (dollars),payment display (start time - ms),payment display (duration - ms),running total (dollars)
1, 22692, 1569, 'icon07.jpg', 24261, 5000.0, 29264, 495, 29760, 1000, 30763, 495, 31259, 10000.0, 36259.0, 35526, 'No', -733.0, 0.1466, 'Neutral', 0, 0, 35525, 440, 0
2, 35529, 1516, 'icon49.jpg', 37047, 3000.0, 40052, 551, 40606, 1000, 41609, 517, 42129, 6000.0, 45129.0, 44291, 'No', -838.0, 0.2793333333333333, 'Win', 3, 2.162, 44290, 494, 2.162
3, 44791, 1483, 'icon22.jpg', 46275, 5000.0, 51276, 489, 51766, 1000, 52769, 493, 53264, 10000.0, 58264.0, 57876, 'No', -388.0, 0.0776, 'Loss', -3, -0.23280000000000012, 57876, 525, 1.9291999999999998
4, 58405, 1577, 'icon22.jpg', 59982, 5000.0, 64985, 485, 65471, 1000, 66475, 517, 66995, 10000.0, 71995.0, 71052, 'No', -943.0, 0.1886, 'Loss', -3, -0.5657999999999999, 71050, 537, 1.3634
5, 71592, 1490, 'icon49.jpg', 73085, 3000.0, 76086, 509, 76596, 1000, 77601, 497, 78099, 6000.0, 81099.0, 79971, 'No', -1128.0, 0.376, 'Win', 3, 1.8719999999999999, 79970, 490, 3.2354
6, 80469, 1492, 'icon07.jpg', 81964, 5000.0, 86966, 490, 87457, 1000, 88462, 545, 89009, 10000.0, 94009.0, 93352, 'No', -657.0, 0.1314, 'Neutral', 0, 0, 93351, 502, 3.2354
7, 93356, 1474, 'icon23.jpg', 94832, 1000.0, 95833, 470, 96305, 1000, 97310, 494, 97808, 2000.0, 98808.0, 98377, 'No', -431.0, 0.431, 'Win', 3, 1.7069999999999999, 98375, 473, 4.942399999999999
8, 98853, 1565, 'icon25.jpg', 100419, 1000.0, 101423, 544, 101970, 1000, 102973, 564, 103538, 2000.0, 104538.0, 104222, 'No', -316.0, 0.316, 'Neutral', 0, 0, 104221, 526, 4.942399999999999
9, 104228, 1543, 'icon49.jpg', 105774, 3000.0, 108777, 544, 109325, 1000, 110329, 496, 110829, 6000.0, 113829.0, 113347, 'No', -482.0, 0.16066666666666668, 'Win', 3, 2.5180000000000002, 113346, 525, 7.4604
10, 113877, 1464, 'icon48.jpg', 115345, 5000.0, 120347, 499, 120849, 1000, 121853, 524, 122378, 10000.0, 127378.0, 127083, 'No', -295.0, 0.059, 'Win', 3, 2.823, 127082, 507, 10.2834
11, 127596, 1569, 'icon43.jpg', 129166, 3000.0, 132169, 511, 132683, 1000, 133685, 485, 134175, 6000.0, 137175.0, 136516, 'No', -659.0, 0.21966666666666668, 'Loss', -3, -0.6589999999999998, 136516, 535, 9.624400000000001
12, 137056, 1487, 'icon48.jpg', 138544, 5000.0, 143546, 551, 144101, 1000, 145104, 525, 145630, 10000.0, 150630.0, 149540, 'No', -1090.0, 0.218, 'Win', 3, 2.346, 149538, 513, 11.970400000000001
13, 150058, 1591, 'icon07.jpg', 151649, 5000.0, 156653, 517, 157172, 1000, 158175, 524, 158703, 10000.0, 163703.0, 162866, 'No', -837.0, 0.1674, 'Neutral', 0, 0, 162866, 440, 11.970400000000001
14, 162872, 1483, 'icon08.jpg', 164357, 1000.0, 165358, 496, 165856, 1000, 166858, 490, 167349, 2000.0, 168349.0, 168094, 'No', -255.0, 0.255, 'Loss', -3, -0.7650000000000001, 168094, 542, 11.205400000000001
15, 168642, 1559, 'icon22.jpg', 170201, 5000.0, 175204, 502, 175709, 1000, 176711, 544, 177256, 10000.0, 182256.0, 181221, 'No', -1035.0, 0.207, 'Loss', -3, -0.621, 181221, 502, 10.5844
16, 181729, 1474, 'icon07.jpg', 183203, 5000.0, 188206, 495, 188702, 1000, 189705, 509, 190215, 10000.0, 195215.0, 194393, 'No', -822.0, 0.1644, 'Neutral', 0, 0, 194393, 507, 10.5844
17, 194397, 1614, 'icon36.jpg', 196014, 3000.0, 199019, 500, 199523, 1000, 200526, 501, 201028, 6000.0, 204028.0, 203365, 'No', -663.0, 0.221, 'Neutral', 0, 0, 203363, 440, 10.5844
18, 203369, 1495, 'icon49.jpg', 204867, 3000.0, 207868, 506, 208378, 1000, 209383, 511, 209900, 6000.0, 212900.0, 212439, 'No', -461.0, 0.15366666666666667, 'Win', 3, 2.539, 212438, 497, 13.1234
