trial number,crosshair (start time - ms),crosshair (duration - ms),icon (filename),display icon (start time - ms),display (duration - ms),wait before (start time - ms),wait before (duration - ms),ready (start time - ms),ready (duration - ms),wait after (start time - ms),wait after (duration - ms),reproduce display (start time - ms),max reproduce display (duration - ms),perfect reproduce time (game time - ms),key down (start time - ms),too late (yes - no),difference time (duration - ms),percent error (fraction),icon category (w - l - n),icon amount (dollars),monetary outcome (dollars),payment display (start time - ms),payment display (duration - ms),running total (dollars)
1,14897,1554, 'icon20.jpg',16455,1000,17456,501,17961,1000,18963,518,19485,2000,20485,20219, 'No',-266,0.266, 'Win',3,2.202,20218,472,2.202
2,20695,1467, 'icon37.jpg',22162,3000,25168,495,25666,1000,26667,518,27189,6000,30189,30167, 'No',-22,0.007333333, 'Neutral',0,0,30165,539,2.202
3,30170,1535, 'icon02.jpg',31708,3000,34712,495,35211,1000,36212,500,36713,6000,39713,39034, 'No',-679,0.226333333, 'Loss',-3,-0.679,39033,501,1.523
4,39541,1535, 'icon43.jpg',41079,5000,46083,469,46554,1000,47557,514,48072,10000,53072,53285, 'No',213,0.0426, 'Neutral',0,0,53284,481,1.523
5,53289,1527, 'icon42.jpg',54819,1000,55822,518,56342,1000,57343,481,57828,2000,58828,58465, 'No',-363,0.363, 'Loss',-3,-1.089,58465,536,0.434
6,59006,1433, 'icon31.jpg',60439,5000,65444,505,65951,1000,66954,494,67449,10000,72449,71897, 'No',-552,0.1104, 'Loss',-3,-0.3312,71896,494,0.1028
7,72398,1505, 'icon55.jpg',73905,5000,78906,494,79404,1000,80406,500,80911,10000,85911,86145, 'No',234,0.0468, 'Win',3,2.8596,86144,534,2.9624
8,86682,1533, 'icon43.jpg',88216,5000,93220,517,93741,1000,94745,524,95274,10000,100274,99936, 'No',-338,0.0676, 'Neutral',0,0,99935,520,2.9624
9,99942,1506, 'icon07.jpg',101448,3000,104449,509,104960,1000,105962,520,106483,6000,109483,108856, 'No',-627,0.209, 'Win',3,2.373,108854,523,5.3354
10,109383,1594, 'icon07.jpg',110979,3000,113981,509,114494,1000,115495,490,115990,6000,118990,119008, 'No',18,0.006, 'Win',3,2.982,119007,491,8.3174
11,119505,1535, 'icon43.jpg',121040,5000,126042,505,126551,1000,127554,533,128092,10000,133092,132796, 'No',-296,0.0592, 'Neutral',0,0,132796,533,8.3174
12,132801,1446, 'icon43.jpg',134247,5000,139249,487,139737,1000,140741,494,141239,10000,146239,146226, 'No',-13,0.0026, 'Neutral',0,0,146225,498,8.3174
13,146230,1450, 'icon18.jpg',147683,1000,148686,511,149200,1000,150204,509,150716,2000,151716,151711, 'No',-5,0.005, 'Neutral',0,0,151710,484,8.3174
14,151715,1430, 'icon18.jpg',153146,1000,154152,487,154643,1000,155646,488,156137,2000,157137,156840, 'No',-297,0.297, 'Neutral',0,0,156839,505,8.3174
15,156844,1423, 'icon31.jpg',158271,5000,163274,527,163805,1000,164807,467,165276,10000,170276,169605, 'No',-671,0.1342, 'Loss',-3,-0.4026,169604,509,7.9148
16,170119,1520, 'icon18.jpg',171642,1000,172643,505,173153,1000,174155,491,174650,2000,175650,175400, 'No',-250,0.25, 'Neutral',0,0,175398,521,7.9148
17,175404,1586, 'icon43.jpg',176992,5000,181996,488,182485,1000,183489,514,184006,10000,189006,187084, 'No',-1922,0.3844, 'Neutral',0,0,187084,495,7.9148
18,187088,1554, 'icon37.jpg',188645,3000,191650,490,192143,1000,193147,507,193655,6000,196655,196263, 'No',-392,0.130666667, 'Neutral',0,0,196262,488,7.9148
19,196266,1503, 'icon02.jpg',197769,3000,200771,468,201242,1000,202247,491,202739,6000,205739,205487, 'No',-252,0.084, 'Loss',-3,-0.252,205486,467,7.6628
20,205958,1451, 'icon55.jpg',207409,5000,212410,527,212938,1000,213940,517,214458,10000,219458,218459, 'No',-999,0.1998, 'Win',3,2.4006,218458,517,10.0634
21,218983,1457, 'icon42.jpg',220440,1000,221441,509,221954,1000,222956,484,223445,2000,224445,224201, 'No',-244,0.244, 'Loss',-3,-0.732,224201,514,9.3314
22,224720,1433, 'icon31.jpg',226155,5000,231160,471,231632,1000,232633,490,233127,10000,238127,237221, 'No',-906,0.1812, 'Loss',-3,-0.5436,237220,539,8.7878
23,237766,1450, 'icon31.jpg',239218,5000,244219,517,244742,1000,245746,520,246270,10000,251270,250807, 'No',-463,0.0926, 'Loss',-3,-0.2778,250805,501,8.51
24,251312,1458, 'icon07.jpg',252772,3000,255774,507,256284,1000,257287,517,257807,6000,260807,260191, 'No',-616,0.205333333, 'Win',3,2.384,260191,507,10.894
25,260707,1592, 'icon42.jpg',262301,1000,263306,524,263831,1000,264834,527,265365,2000,266365,265827, 'No',-538,0.538, 'Loss',-3,-1.614,265826,536,9.28
26,266368,1455, 'icon31.jpg',267825,5000,272826,536,273365,1000,274366,505,274873,10000,279873,278847, 'No',-1026,0.2052, 'Loss',-3,-0.6156,278847,509,8.6644
