trial number,crosshair (start time - ms),crosshair (duration - ms),icon (filename),display icon (start time - ms),display (duration - ms),wait before (start time - ms),wait before (duration - ms),ready (start time - ms),ready (duration - ms),wait after (start time - ms),wait after (duration - ms),reproduce display (start time - ms),max reproduce display (duration - ms),perfect reproduce time (game time - ms),key down (start time - ms),too late (yes - no),difference time (duration - ms),percent error (fraction),icon category (w - l - n),icon amount (dollars),monetary outcome (dollars),payment display (start time - ms),payment display (duration - ms),running total (dollars)
1, 15557, 1488, 'icon46.jpg', 17047, 3000.0, 20050, 492, 20545, 1000, 21546, 489, 22039, 6000.0, 25039.0, 25003, 'No', -36.0, 0.012, 'Neutral', 0, 0, 25001, 505, 0
2, 25008, 1488, 'icon46.jpg', 26497, 3000.0, 29499, 499, 30000, 1000, 31001, 469, 31473, 6000.0, 34473.0, 34795, 'No', 322.0, 0.10733333333333334, 'Neutral', 0, 0, 34794, 474, 0
3, 34799, 1478, 'icon32.jpg', 36279, 5000.0, 41282, 465, 41748, 1000, 42749, 465, 43217, 10000.0, 48217.0, 47509, 'No', -708.0, 0.1416, 'Loss', -3, -0.42479999999999984, 47508, 487, -0.42479999999999984
4, 48002, 1559, 'icon31.jpg', 49565, 5000.0, 54568, 523, 55092, 1000, 56093, 538, 56632, 10000.0, 61632.0, 61248, 'No', -384.0, 0.0768, 'Neutral', 0, 0, 61247, 525, -0.42479999999999984
5, 61253, 1506, 'icon32.jpg', 62760, 5000.0, 67764, 447, 68213, 1000, 69215, 531, 69750, 10000.0, 74750.0, 74271, 'No', -479.0, 0.0958, 'Loss', -3, -0.2873999999999999, 74270, 505, -0.7121999999999997
6, 74782, 1535, 'icon54.jpg', 76320, 3000.0, 79321, 518, 79841, 1000, 80845, 476, 81325, 6000.0, 84325.0, 83546, 'No', -779.0, 0.25966666666666666, 'Win', 3, 2.221, 83544, 501, 1.5088000000000004
7, 84051, 1489, 'icon48.jpg', 85540, 1000.0, 86543, 515, 87059, 1000, 88061, 497, 88559, 2000.0, 89559.0, 89341, 'No', -218.0, 0.218, 'Win', 3, 2.346, 89340, 449, 3.8548000000000004
8, 89796, 1559, 'icon46.jpg', 91357, 3000.0, 94360, 531, 94893, 1000, 95899, 528, 96432, 6000.0, 99432.0, 99386, 'No', -46.0, 0.015333333333333332, 'Neutral', 0, 0, 99385, 481, 3.8548000000000004
9, 99390, 1469, 'icon48.jpg', 100859, 1000.0, 101860, 481, 102344, 1000, 103348, 508, 103857, 2000.0, 104857.0, 104671, 'No', -186.0, 0.186, 'Win', 3, 2.4419999999999997, 104670, 517, 6.2968
10, 105194, 1578, 'icon54.jpg', 106774, 3000.0, 109775, 507, 110284, 1000, 111287, 496, 111784, 6000.0, 114784.0, 114514, 'No', -270.0, 0.09, 'Win', 3, 2.73, 114514, 480, 9.0268
