trial number,crosshair (start time - ms),crosshair (duration - ms),icon (filename),display icon (start time - ms),display (duration - ms),wait before (start time - ms),wait before (duration - ms),ready (start time - ms),ready (duration - ms),wait after (start time - ms),wait after (duration - ms),reproduce display (start time - ms),max reproduce display (duration - ms),perfect reproduce time (game time - ms),key down (start time - ms),too late (yes - no),difference time (duration - ms),percent error (fraction),icon category (w - l - n),icon amount (dollars),monetary outcome (dollars),payment display (start time - ms),payment display (duration - ms),running total (dollars)
1, 25674, 1548, 'icon33.jpg', 27223, 3000.0, 30227, 488, 30717, 1000, 31720, 474, 32196, 6000.0, 35196.0, 34425, 'No', -771.0, 0.257, 'Neutral', 0, 0, 34424, 500, 0
2, 34429, 1476, 'icon02.jpg', 35906, 5000.0, 40910, 467, 41379, 1000, 42381, 513, 42896, 10000.0, 47896.0, 47087, 'No', -809.0, 0.1618, 'Win', 3, 2.5145999999999997, 47086, 500, 2.5145999999999997
3, 47597, 1443, 'icon02.jpg', 49041, 5000.0, 54043, 500, 54546, 1000, 55551, 538, 56093, 10000.0, 61093.0, 60674, 'No', -419.0, 0.0838, 'Win', 3, 2.7486, 60673, 494, 5.263199999999999
4, 61173, 1507, 'icon33.jpg', 62683, 3000.0, 65686, 505, 66193, 1000, 67197, 513, 67712, 6000.0, 70712.0, 70260, 'No', -452.0, 0.15066666666666667, 'Neutral', 0, 0, 70259, 513, 5.263199999999999
5, 70266, 1468, 'icon29.jpg', 71736, 1000.0, 72739, 522, 73265, 1000, 74268, 518, 74787, 2000.0, 75787.0, 75130, 'No', -657.0, 0.657, 'Neutral', 0, 0, 75128, 443, 5.263199999999999
6, 75134, 1541, 'icon33.jpg', 76675, 3000.0, 79678, 487, 80169, 1000, 81171, 481, 81656, 6000.0, 84656.0, 83642, 'No', -1014.0, 0.338, 'Neutral', 0, 0, 83641, 470, 5.263199999999999
7, 83648, 1491, 'icon03.jpg', 85140, 3000.0, 88146, 513, 88661, 1000, 89663, 473, 90139, 6000.0, 93139.0, 92354, 'No', -785.0, 0.26166666666666666, 'Loss', -3, -0.7850000000000001, 92353, 461, 4.478199999999999
8, 92818, 1477, 'icon14.jpg', 94298, 5000.0, 99299, 495, 99798, 1000, 100802, 481, 101284, 10000.0, 106284.0, 105119, 'No', -1165.0, 0.233, 'Loss', -3, -0.6989999999999998, 105118, 553, 3.7791999999999994
9, 105678, 1545, 'icon14.jpg', 107228, 5000.0, 112231, 494, 112729, 1000, 113732, 522, 114258, 10000.0, 119258.0, 117782, 'No', -1476.0, 0.2952, 'Loss', -3, -0.8856000000000002, 117781, 513, 2.8935999999999993
10, 118301, 1502, 'icon53.jpg', 119803, 3000.0, 122805, 519, 123329, 1000, 124331, 518, 124852, 6000.0, 127852.0, 126496, 'No', -1356.0, 0.452, 'Win', 3, 1.6440000000000001, 126495, 461, 4.537599999999999
11, 126962, 1545, 'icon03.jpg', 128509, 3000.0, 131513, 538, 132052, 1000, 133054, 472, 133528, 6000.0, 136528.0, 135521, 'No', -1007.0, 0.33566666666666667, 'Loss', -3, -1.0070000000000001, 135520, 491, 3.5305999999999993
12, 136016, 1552, 'icon33.jpg', 137568, 3000.0, 140570, 514, 141085, 1000, 142090, 465, 142557, 6000.0, 145557.0, 144592, 'No', -965.0, 0.32166666666666666, 'Neutral', 0, 0, 144591, 489, 3.5305999999999993
13, 144596, 1507, 'icon35.jpg', 146107, 5000.0, 151110, 502, 151614, 1000, 152617, 448, 153070, 10000.0, 158070.0, 156846, 'No', -1224.0, 0.2448, 'Neutral', 0, 0, 156845, 506, 3.5305999999999993
14, 156850, 1543, 'icon02.jpg', 158396, 5000.0, 163397, 499, 163898, 1000, 164901, 509, 165411, 10000.0, 170411.0, 168944, 'No', -1467.0, 0.2934, 'Win', 3, 2.1198, 168943, 474, 5.650399999999999
15, 169425, 1495, 'icon33.jpg', 170921, 3000.0, 173922, 474, 174397, 1000, 175401, 504, 175908, 6000.0, 178908.0, 177862, 'No', -1046.0, 0.3486666666666667, 'Neutral', 0, 0, 177861, 452, 5.650399999999999
16, 177867, 1456, 'icon17.jpg', 179326, 1000.0, 180330, 475, 180808, 1000, 181809, 473, 182284, 2000.0, 183284.0, 182736, 'No', -548.0, 0.548, 'Win', 3, 1.356, 182735, 520, 7.006399999999999
17, 183261, 1516, 'icon03.jpg', 184779, 3000.0, 187781, 509, 188293, 1000, 189295, 506, 189804, 6000.0, 192804.0, 192119, 'No', -685.0, 0.22833333333333333, 'Loss', -3, -0.685, 192118, 520, 6.321399999999999
