trial number,crosshair (start time - ms),crosshair (duration - ms),icon (filename),display icon (start time - ms),display (duration - ms),wait before (start time - ms),wait before (duration - ms),ready (start time - ms),ready (duration - ms),wait after (start time - ms),wait after (duration - ms),reproduce display (start time - ms),max reproduce display (duration - ms),perfect reproduce time (game time - ms),key down (start time - ms),too late (yes - no),difference time (duration - ms),percent error (fraction),icon category (w - l - n),icon amount (dollars),monetary outcome (dollars),payment display (start time - ms),payment display (duration - ms),running total (dollars)
1, 16641, 1477, 'icon18.jpg', 18118, 3000.0, 21119, 493, 21615, 1000, 22619, 509, 23130, 6000.0, 26130.0, 25178, 'No', -952.0, 0.31733333333333336, 'Neutral', 0, 0, 25176, 476, 0
2, 25181, 1474, 'icon43.jpg', 26657, 5000.0, 31658, 481, 32140, 1000, 33141, 525, 33668, 10000.0, 38668.0, 38250, 'No', -418.0, 0.0836, 'Loss', -3, -0.2507999999999999, 38249, 499, -0.2507999999999999
3, 38755, 1474, 'icon22.jpg', 40229, 3000.0, 43231, 503, 43735, 1000, 44736, 514, 45251, 6000.0, 48251.0, 48093, 'No', -158.0, 0.05266666666666667, 'Win', 3, 2.842, 48092, 463, 2.5912
4, 48564, 1502, 'icon08.jpg', 50067, 5000.0, 55070, 490, 55564, 1000, 56566, 487, 57057, 10000.0, 62057.0, 61165, 'No', -892.0, 0.1784, 'Win', 3, 2.4648, 61165, 514, 5.056
5, 61685, 1505, 'icon23.jpg', 63192, 3000.0, 66193, 469, 66663, 1000, 67664, 510, 68176, 6000.0, 71176.0, 70750, 'No', -426.0, 0.142, 'Loss', -3, -0.42600000000000016, 70749, 497, 4.63
6, 71252, 1494, 'icon51.jpg', 72746, 1000.0, 73748, 490, 74239, 1000, 75241, 563, 75808, 2000.0, 76808.0, 76648, 'No', -160.0, 0.16, 'Win', 3, 2.52, 76648, 445, 7.15
7, 77099, 1475, 'icon43.jpg', 78574, 5000.0, 83577, 524, 84105, 1000, 85108, 486, 85595, 10000.0, 90595.0, 89463, 'No', -1132.0, 0.2264, 'Loss', -3, -0.6792000000000002, 89462, 469, 6.4708000000000006
8, 89939, 1523, 'icon08.jpg', 91463, 5000.0, 96465, 490, 96957, 1000, 97959, 522, 98483, 10000.0, 103483.0, 102537, 'No', -946.0, 0.1892, 'Win', 3, 2.4324, 102535, 497, 8.9032
9, 103039, 1554, 'icon18.jpg', 104593, 3000.0, 107594, 497, 108093, 1000, 109095, 497, 109594, 6000.0, 112594.0, 111865, 'No', -729.0, 0.243, 'Neutral', 0, 0, 111863, 503, 8.9032
10, 111869, 1474, 'icon18.jpg', 113345, 3000.0, 116347, 522, 116870, 1000, 117874, 497, 118374, 6000.0, 121374.0, 120635, 'No', -739.0, 0.24633333333333332, 'Neutral', 0, 0, 120634, 476, 8.9032
