trial number,crosshair (start time - ms),crosshair (duration - ms),icon (filename),display icon (start time - ms),display (duration - ms),wait before (start time - ms),wait before (duration - ms),ready (start time - ms),ready (duration - ms),wait after (start time - ms),wait after (duration - ms),reproduce display (start time - ms),max reproduce display (duration - ms),perfect reproduce time (game time - ms),key down (start time - ms),too late (yes - no),difference time (duration - ms),percent error (fraction),icon category (w - l - n),icon amount (dollars),monetary outcome (dollars),payment display (start time - ms),payment display (duration - ms),running total (dollars)
1, 13520, 1557, 'icon31.jpg', 15078, 5000.0, 20079, 477, 20561, 1000, 21563, 504, 22068, 10000.0, 27068.0, 26031, 'No', -1037.0, 0.2074, 'Neutral', 0, 0, 26030, 494, 0
2, 26035, 1429, 'icon04.jpg', 27464, 5000.0, 32468, 512, 32982, 1000, 33986, 503, 34491, 10000.0, 39491.0, 39207, 'No', -284.0, 0.0568, 'Win', 3, 2.8296, 39205, 504, 2.8296
3, 39713, 1474, 'icon13.jpg', 41191, 3000.0, 44195, 500, 44697, 1000, 45701, 514, 46217, 6000.0, 49217.0, 48742, 'No', -475.0, 0.15833333333333333, 'Win', 3, 2.525, 48741, 468, 5.3546
4, 49214, 1487, 'icon54.jpg', 50701, 3000.0, 53702, 541, 54246, 1000, 55247, 482, 55731, 6000.0, 58731.0, 56175, 'No', -2556.0, 0.852, 'Loss', -3, -2.556, 56174, 502, 2.7985999999999995
5, 56682, 1534, 'icon13.jpg', 58219, 3000.0, 61223, 464, 61689, 1000, 62692, 488, 63182, 6000.0, 66182.0, 65607, 'No', -575.0, 0.19166666666666668, 'Win', 3, 2.425, 65606, 503, 5.223599999999999
6, 66114, 1500, 'icon04.jpg', 67616, 5000.0, 72618, 499, 73119, 1000, 74122, 476, 74599, 10000.0, 79599.0, 78833, 'No', -766.0, 0.1532, 'Win', 3, 2.5404, 78832, 499, 7.763999999999999
7, 79339, 1429, 'icon21.jpg', 80768, 5000.0, 85772, 510, 86286, 1000, 87290, 514, 87805, 10000.0, 92805.0, 92112, 'No', -693.0, 0.1386, 'Loss', -3, -0.41579999999999995, 92111, 524, 7.348199999999999
8, 92640, 1540, 'icon13.jpg', 94180, 3000.0, 97181, 449, 97635, 1000, 98638, 476, 99117, 6000.0, 102117.0, 101391, 'No', -726.0, 0.242, 'Win', 3, 2.274, 101390, 520, 9.6222
9, 101918, 1483, 'icon16.jpg', 103403, 1000.0, 104404, 453, 104859, 1000, 105860, 516, 106377, 2000.0, 107377.0, 107338, 'No', -39.0, 0.039, 'Loss', -3, -0.11699999999999999, 107337, 502, 9.505199999999999
10, 107843, 1447, 'icon39.jpg', 109292, 1000.0, 110296, 502, 110800, 1000, 111801, 487, 112291, 2000.0, 113291.0, 113179, 'No', -112.0, 0.112, 'Win', 3, 2.664, 113177, 510, 12.169199999999998
11, 113692, 1491, 'icon16.jpg', 115184, 1000.0, 116188, 520, 116709, 1000, 117713, 482, 118201, 2000.0, 119201.0, 119023, 'No', -178.0, 0.178, 'Loss', -3, -0.5340000000000003, 119022, 564, 11.635199999999998
12, 119591, 1552, 'icon21.jpg', 121144, 5000.0, 126149, 470, 126620, 1000, 127622, 517, 128143, 10000.0, 133143.0, 133174, 'No', 31.0, 0.0062, 'Loss', -3, -0.018600000000000172, 133173, 564, 11.616599999999998
13, 133745, 1529, 'icon21.jpg', 135277, 5000.0, 140282, 541, 140824, 1000, 141825, 487, 142316, 10000.0, 147316.0, 147372, 'No', 56.0, 0.0112, 'Loss', -3, -0.03359999999999985, 147371, 497, 11.582999999999998
14, 147872, 1557, 'icon54.jpg', 149432, 3000.0, 152433, 516, 152951, 1000, 153953, 481, 154436, 6000.0, 157436.0, 157063, 'No', -373.0, 0.12433333333333334, 'Loss', -3, -0.3729999999999998, 157062, 517, 11.209999999999999
15, 157584, 1521, 'icon39.jpg', 159108, 1000.0, 160113, 481, 160598, 1000, 161600, 541, 162143, 2000.0, 163143.0, 162649, 'No', -494.0, 0.494, 'Win', 3, 1.518, 162649, 493, 12.728
16, 163149, 1500, 'icon35.jpg', 164649, 3000.0, 167652, 490, 168144, 1000, 169145, 510, 169657, 6000.0, 172657.0, 171829, 'No', -828.0, 0.276, 'Neutral', 0, 0, 171828, 476, 12.728
17, 171833, 1540, 'icon04.jpg', 173375, 5000.0, 178376, 542, 178919, 1000, 179920, 482, 180405, 10000.0, 185405.0, 184437, 'No', -968.0, 0.1936, 'Win', 3, 2.4192, 184436, 467, 15.1472
18, 184909, 1464, 'icon15.jpg', 186375, 1000.0, 187379, 464, 187847, 1000, 188848, 487, 189336, 2000.0, 190336.0, 189977, 'No', -359.0, 0.359, 'Neutral', 0, 0, 189976, 504, 15.1472
19, 189981, 1534, 'icon39.jpg', 191516, 1000.0, 192518, 539, 193060, 1000, 194061, 516, 194579, 2000.0, 195579.0, 195206, 'No', -373.0, 0.373, 'Win', 3, 1.881, 195204, 475, 17.0282
20, 195685, 1458, 'icon13.jpg', 197145, 3000.0, 200148, 521, 200674, 1000, 201675, 508, 202185, 6000.0, 205185.0, 204174, 'No', -1011.0, 0.337, 'Win', 3, 1.989, 204174, 490, 19.0172
21, 204670, 1464, 'icon39.jpg', 206135, 1000.0, 207139, 504, 207644, 1000, 208647, 476, 209126, 2000.0, 210126.0, 210020, 'No', -106.0, 0.106, 'Win', 3, 2.682, 210018, 487, 21.699199999999998
22, 210512, 1429, 'icon04.jpg', 211944, 5000.0, 216948, 520, 217472, 1000, 218477, 467, 218947, 10000.0, 223947.0, 223193, 'No', -754.0, 0.1508, 'Win', 3, 2.5476, 223193, 512, 24.246799999999997
23, 223712, 1533, 'icon54.jpg', 225248, 3000.0, 228253, 481, 228739, 1000, 229742, 518, 230263, 6000.0, 233263.0, 232728, 'No', -535.0, 0.17833333333333334, 'Loss', -3, -0.5350000000000001, 232727, 464, 23.711799999999997
24, 233197, 1512, 'icon21.jpg', 234710, 5000.0, 239711, 503, 240215, 1000, 241219, 504, 241727, 10000.0, 246727.0, 245748, 'No', -979.0, 0.1958, 'Loss', -3, -0.5873999999999997, 245746, 481, 23.124399999999998
25, 246236, 1429, 'icon16.jpg', 247667, 1000.0, 248669, 468, 249138, 1000, 250139, 467, 250607, 2000.0, 251607.0, 251388, 'No', -219.0, 0.219, 'Loss', -3, -0.657, 251387, 467, 22.467399999999998
