trial number,crosshair (start time - ms),crosshair (duration - ms),icon (filename),display icon (start time - ms),display (duration - ms),wait before (start time - ms),wait before (duration - ms),ready (start time - ms),ready (duration - ms),wait after (start time - ms),wait after (duration - ms),reproduce display (start time - ms),max reproduce display (duration - ms),perfect reproduce time (game time - ms),key down (start time - ms),too late (yes - no),difference time (duration - ms),percent error (fraction),icon category (w - l - n),icon amount (dollars),monetary outcome (dollars),payment display (start time - ms),payment display (duration - ms),running total (dollars)
1, 45613, 1506, 'icon33.jpg', 47119, 5000.0, 52122, 516, 52640, 1000, 53645, 549, 54195, 10000.0, 59195.0, 58829, 'No', -366.0, 0.0732, 'Loss', -5, -0.36600000000000055, 58828, 462, -0.36600000000000055
2, 58833, 1549, 'icon33.jpg', 60382, 5000.0, 65386, 485, 65872, 1000, 66877, 485, 67364, 10000.0, 72364.0, 72975, 'No', 611.0, 0.1222, 'Loss', -5, -0.6109999999999998, 72974, 460, -0.9770000000000003
3, 72979, 1521, 'icon08.jpg', 74501, 3000.0, 77503, 464, 77970, 1000, 78976, 472, 79451, 6000.0, 82451.0, 81384, 'No', -1067.0, 0.3556666666666667, 'Win', 3, 1.9329999999999998, 81383, 512, 0.9559999999999995
4, 81388, 1481, 'icon37.jpg', 82870, 5000.0, 87875, 464, 88344, 1000, 89345, 466, 89812, 10000.0, 94812.0, 93634, 'No', -1178.0, 0.2356, 'Neutral', 0, 0, 93633, 484, 0.9559999999999995
5, 93638, 1488, 'icon13.jpg', 95129, 1000.0, 96133, 494, 96628, 1000, 97629, 517, 98149, 2000.0, 99149.0, 99015, 'No', -134.0, 0.134, 'Loss', -1, -0.134, 99014, 539, 0.8219999999999995
6, 99019, 1516, 'icon33.jpg', 100535, 5000.0, 105539, 464, 106005, 1000, 107008, 484, 107493, 10000.0, 112493.0, 111731, 'No', -762.0, 0.1524, 'Loss', -5, -0.7619999999999996, 111730, 513, 0.05999999999999994
7, 111735, 1492, 'icon36.jpg', 113227, 3000.0, 116229, 546, 116776, 1000, 117777, 464, 118242, 6000.0, 121242.0, 120705, 'No', -537.0, 0.179, 'Loss', -3, -0.5369999999999999, 120703, 510, -0.477
8, 120709, 1508, 'icon20.jpg', 122219, 5000.0, 127222, 528, 127755, 1000, 128757, 492, 129252, 10000.0, 134252.0, 132854, 'No', -1398.0, 0.2796, 'Win', 5, 3.6020000000000003, 132853, 495, 3.1250000000000004
9, 132858, 1480, 'icon36.jpg', 134341, 3000.0, 137343, 516, 137860, 1000, 138863, 494, 139358, 6000.0, 142358.0, 141411, 'No', -947.0, 0.31566666666666665, 'Loss', -3, -0.9470000000000001, 141411, 466, 2.1780000000000004
10, 141416, 1508, 'icon37.jpg', 142926, 5000.0, 147929, 505, 148435, 1000, 149436, 508, 149945, 10000.0, 154945.0, 153818, 'No', -1127.0, 0.2254, 'Neutral', 0, 0, 153817, 477, 2.1780000000000004
11, 153822, 1553, 'icon40.jpg', 155376, 1000.0, 156377, 536, 156917, 1000, 157920, 464, 158385, 2000.0, 159385.0, 159252, 'No', -133.0, 0.133, 'Win', 1, 0.867, 159251, 539, 3.0450000000000004
12, 159256, 1472, 'icon13.jpg', 160730, 1000.0, 161734, 549, 162285, 1000, 163289, 535, 163825, 2000.0, 164825.0, 164790, 'No', -35.0, 0.035, 'Loss', -1, -0.03500000000000003, 164790, 484, 3.0100000000000002
13, 164794, 1483, 'icon37.jpg', 166277, 5000.0, 171282, 546, 171830, 1000, 172833, 530, 173367, 10000.0, 178367.0, 177707, 'No', -660.0, 0.132, 'Neutral', 0, 0, 177706, 458, 3.0100000000000002
14, 177712, 1477, 'icon45.jpg', 179192, 1000.0, 180198, 530, 180732, 1000, 181734, 492, 182228, 2000.0, 183228.0, 183195, 'No', -33.0, 0.033, 'Neutral', 0, 0, 183193, 458, 3.0100000000000002
15, 183199, 1488, 'icon37.jpg', 184690, 5000.0, 189691, 516, 190210, 1000, 191213, 500, 191715, 10000.0, 196715.0, 194930, 'No', -1785.0, 0.357, 'Neutral', 0, 0, 194929, 508, 3.0100000000000002
16, 194934, 1470, 'icon36.jpg', 196404, 3000.0, 199406, 471, 199881, 1000, 200885, 511, 201397, 6000.0, 204397.0, 203954, 'No', -443.0, 0.14766666666666667, 'Loss', -3, -0.4429999999999996, 203953, 512, 2.5670000000000006
17, 203958, 1511, 'icon40.jpg', 205470, 1000.0, 206474, 516, 206994, 1000, 207997, 472, 208471, 2000.0, 209471.0, 209338, 'No', -133.0, 0.133, 'Win', 1, 0.867, 209337, 495, 3.4340000000000006
