trial number,crosshair (start time - ms),crosshair (duration - ms),icon (filename),display icon (start time - ms),display (duration - ms),wait before (start time - ms),wait before (duration - ms),ready (start time - ms),ready (duration - ms),wait after (start time - ms),wait after (duration - ms),reproduce display (start time - ms),max reproduce display (duration - ms),perfect reproduce time (game time - ms),key down (start time - ms),too late (yes - no),difference time (duration - ms),percent error (fraction),icon category (w - l - n),icon amount (dollars),monetary outcome (dollars),payment display (start time - ms),payment display (duration - ms),running total (dollars)
1, 24004, 1470, 'icon55.jpg', 25476, 5000.0, 30479, 534, 31016, 1000, 32017, 509, 32527, 10000.0, 37527.0, 36761, 'No', -766.0, 0.1532, 'Loss', -5, -0.766, 36760, 486, -0.766
2, 36765, 1505, 'icon15.jpg', 38271, 3000.0, 41274, 518, 41793, 1000, 42797, 495, 43293, 6000.0, 46293.0, 45275, 'No', -1018.0, 0.3393333333333333, 'Loss', -3, -1.0180000000000002, 45274, 495, -1.7840000000000003
3, 45278, 1530, 'icon44.jpg', 46811, 1000.0, 47812, 503, 48316, 1000, 49318, 547, 49867, 2000.0, 50867.0, 50706, 'No', -161.0, 0.161, 'Win', 1, 0.839, 50705, 518, -0.9450000000000003
4, 50709, 1457, 'icon28.jpg', 52167, 5000.0, 57168, 493, 57665, 1000, 58671, 502, 59174, 10000.0, 64174.0, 63781, 'No', -393.0, 0.0786, 'Neutral', 0, 0, 63780, 494, -0.9450000000000003
5, 63787, 1523, 'icon15.jpg', 65312, 3000.0, 68314, 502, 68820, 1000, 69824, 512, 70340, 6000.0, 73340.0, 73266, 'No', -74.0, 0.024666666666666667, 'Loss', -3, -0.07399999999999984, 73265, 498, -1.0190000000000001
6, 73270, 1491, 'icon44.jpg', 74762, 1000.0, 75764, 460, 76226, 1000, 77228, 494, 77724, 2000.0, 78724.0, 78697, 'No', -27.0, 0.027, 'Win', 1, 0.973, 78697, 472, -0.04600000000000015
7, 78702, 1490, 'icon15.jpg', 80194, 3000.0, 83195, 468, 83666, 1000, 84669, 484, 85154, 6000.0, 88154.0, 87463, 'No', -691.0, 0.23033333333333333, 'Loss', -3, -0.6909999999999998, 87462, 539, -0.737
8, 87468, 1505, 'icon26.jpg', 88975, 1000.0, 89978, 499, 90478, 1000, 91484, 479, 91966, 2000.0, 92966.0, 93153, 'No', 187.0, 0.187, 'Loss', -1, -0.18700000000000006, 93153, 459, -0.924
9, 93157, 1514, 'icon28.jpg', 94672, 5000.0, 99676, 489, 100166, 1000, 101169, 515, 101686, 10000.0, 106686.0, 106587, 'No', -99.0, 0.0198, 'Neutral', 0, 0, 106586, 542, -0.924
10, 106591, 1553, 'icon14.jpg', 108148, 3000.0, 111150, 469, 111621, 1000, 112623, 503, 113127, 6000.0, 116127.0, 115965, 'No', -162.0, 0.054, 'Neutral', 0, 0, 115964, 503, -0.924
11, 115969, 1513, 'icon54.jpg', 117485, 3000.0, 120486, 485, 120973, 1000, 121974, 502, 122480, 6000.0, 125480.0, 125039, 'No', -441.0, 0.147, 'Win', 3, 2.559, 125038, 496, 1.6350000000000002
12, 125044, 1481, 'icon15.jpg', 126527, 3000.0, 129532, 495, 130032, 1000, 131035, 507, 131546, 6000.0, 134546.0, 134423, 'No', -123.0, 0.041, 'Loss', -3, -0.12300000000000022, 134422, 496, 1.512
13, 134428, 1530, 'icon10.jpg', 135959, 1000.0, 136962, 495, 137462, 1000, 138463, 494, 138962, 2000.0, 139962.0, 139599, 'No', -363.0, 0.363, 'Neutral', 0, 0, 139598, 489, 1.512
14, 139603, 1548, 'icon15.jpg', 141152, 3000.0, 144153, 468, 144626, 1000, 145627, 539, 146168, 6000.0, 149168.0, 148625, 'No', -543.0, 0.181, 'Loss', -3, -0.5430000000000001, 148623, 468, 0.9689999999999999
15, 148629, 1481, 'icon48.jpg', 150111, 5000.0, 155113, 495, 155609, 1000, 156612, 479, 157092, 10000.0, 162092.0, 161901, 'No', -191.0, 0.0382, 'Win', 5, 4.809, 161900, 507, 5.7780000000000005
16, 161905, 1486, 'icon48.jpg', 163394, 5000.0, 168396, 478, 168877, 1000, 169880, 507, 170389, 10000.0, 175389.0, 174870, 'No', -519.0, 0.1038, 'Win', 5, 4.481, 174869, 512, 10.259
17, 174875, 1512, 'icon28.jpg', 176391, 5000.0, 181394, 493, 181893, 1000, 182896, 518, 183417, 10000.0, 188417.0, 187892, 'No', -525.0, 0.105, 'Neutral', 0, 0, 187891, 489, 10.259
18, 187895, 1402, 'icon15.jpg', 189300, 3000.0, 192301, 479, 192781, 1000, 193782, 468, 194253, 6000.0, 197253.0, 197170, 'No', -83.0, 0.027666666666666666, 'Loss', -3, -0.08299999999999974, 197168, 472, 10.176
19, 197174, 1418, 'icon28.jpg', 198595, 5000.0, 203599, 469, 204073, 1000, 205077, 498, 205577, 10000.0, 210577.0, 210240, 'No', -337.0, 0.0674, 'Neutral', 0, 0, 210239, 491, 10.176
20, 210244, 1539, 'icon14.jpg', 211786, 3000.0, 214787, 495, 215284, 1000, 216285, 499, 216786, 6000.0, 219786.0, 219522, 'No', -264.0, 0.088, 'Neutral', 0, 0, 219521, 510, 10.176
21, 219526, 1507, 'icon44.jpg', 221036, 1000.0, 222039, 519, 222559, 1000, 223560, 489, 224053, 2000.0, 225053.0, 224853, 'No', -200.0, 0.2, 'Win', 1, 0.8, 224852, 510, 10.976
22, 224856, 1497, 'icon10.jpg', 226355, 1000.0, 227358, 542, 227905, 1000, 228907, 486, 229396, 2000.0, 230396.0, 230080, 'No', -316.0, 0.316, 'Neutral', 0, 0, 230079, 479, 10.976
23, 230085, 1548, 'icon15.jpg', 231635, 3000.0, 234637, 498, 235138, 1000, 236141, 539, 236681, 6000.0, 239681.0, 239308, 'No', -373.0, 0.12433333333333334, 'Loss', -3, -0.3729999999999998, 239307, 489, 10.603000000000002
24, 239312, 1504, 'icon28.jpg', 240816, 5000.0, 245820, 489, 246310, 1000, 247311, 453, 247766, 10000.0, 252766.0, 252383, 'No', -383.0, 0.0766, 'Neutral', 0, 0, 252382, 495, 10.603000000000002
25, 252387, 1486, 'icon48.jpg', 253875, 5000.0, 258876, 453, 259334, 1000, 260338, 448, 260787, 10000.0, 265787.0, 265555, 'No', -232.0, 0.0464, 'Win', 5, 4.768, 265554, 460, 15.371000000000002
26, 265559, 1534, 'icon28.jpg', 267096, 5000.0, 272100, 490, 272596, 1000, 273599, 507, 274107, 10000.0, 279107.0, 278629, 'No', -478.0, 0.0956, 'Neutral', 0, 0, 278629, 507, 15.371000000000002
27, 278633, 1544, 'icon10.jpg', 280178, 1000.0, 281181, 486, 281669, 1000, 282671, 469, 283146, 2000.0, 284146.0, 283909, 'No', -237.0, 0.237, 'Neutral', 0, 0, 283907, 468, 15.371000000000002
28, 283913, 1527, 'icon14.jpg', 285443, 3000.0, 288444, 564, 289011, 1000, 290012, 536, 290551, 6000.0, 293551.0, 293085, 'No', -466.0, 0.15533333333333332, 'Neutral', 0, 0, 293085, 514, 15.371000000000002
29, 293089, 1540, 'icon54.jpg', 294630, 3000.0, 297631, 498, 298130, 1000, 299132, 486, 299622, 6000.0, 302622.0, 302567, 'No', -55.0, 0.018333333333333333, 'Win', 3, 2.9450000000000003, 302566, 519, 18.316000000000003
30, 302572, 1507, 'icon44.jpg', 304079, 1000.0, 305083, 518, 305604, 1000, 306609, 498, 307111, 2000.0, 308111.0, 307797, 'No', -314.0, 0.314, 'Win', 1, 0.686, 307796, 501, 19.002000000000002
31, 307801, 1472, 'icon28.jpg', 309275, 5000.0, 314278, 478, 314761, 1000, 315763, 512, 316278, 10000.0, 321278.0, 320770, 'No', -508.0, 0.1016, 'Neutral', 0, 0, 320769, 504, 19.002000000000002
32, 320775, 1494, 'icon55.jpg', 322274, 5000.0, 327276, 564, 327844, 1000, 328848, 498, 329349, 10000.0, 334349.0, 333740, 'No', -609.0, 0.1218, 'Loss', -5, -0.609, 333738, 459, 18.393
33, 333743, 1532, 'icon26.jpg', 335277, 1000.0, 336278, 547, 336828, 1000, 337829, 469, 338302, 2000.0, 339302.0, 339122, 'No', -180.0, 0.18, 'Loss', -1, -0.18000000000000005, 339122, 495, 18.213
34, 339126, 1531, 'icon14.jpg', 340658, 3000.0, 343661, 484, 344148, 1000, 345154, 485, 345640, 6000.0, 348640.0, 348244, 'No', -396.0, 0.132, 'Neutral', 0, 0, 348243, 501, 18.213
35, 348248, 1532, 'icon14.jpg', 349780, 3000.0, 352782, 536, 353321, 1000, 354324, 504, 354831, 6000.0, 357831.0, 357576, 'No', -255.0, 0.085, 'Neutral', 0, 0, 357576, 536, 18.213
36, 357581, 1457, 'icon54.jpg', 359039, 3000.0, 362043, 490, 362537, 1000, 363541, 501, 364044, 6000.0, 367044.0, 366958, 'No', -86.0, 0.028666666666666667, 'Win', 3, 2.914, 366958, 484, 21.127000000000002
