trial number,crosshair (start time - ms),crosshair (duration - ms),icon (filename),display icon (start time - ms),display (duration - ms),wait before (start time - ms),wait before (duration - ms),ready (start time - ms),ready (duration - ms),wait after (start time - ms),wait after (duration - ms),reproduce display (start time - ms),max reproduce display (duration - ms),perfect reproduce time (game time - ms),key down (start time - ms),too late (yes - no),difference time (duration - ms),percent error (fraction),icon category (w - l - n),icon amount (dollars),monetary outcome (dollars),payment display (start time - ms),payment display (duration - ms),running total (dollars)
1, 18774, 1488, 'icon26.jpg', 20264, 1000.0, 21265, 512, 21778, 1000, 22783, 547, 23332, 2000.0, 24332.0, 24503, 'No', 171.0, 0.171, 'Neutral', 0, 0, 24503, 479, 0
2, 24507, 1523, 'icon26.jpg', 26033, 1000.0, 27036, 473, 27513, 1000, 28515, 516, 29035, 2000.0, 30035.0, 29935, 'No', -100.0, 0.1, 'Neutral', 0, 0, 29934, 508, 0
3, 29939, 1489, 'icon02.jpg', 31428, 1000.0, 32432, 485, 32920, 1000, 33922, 491, 34416, 2000.0, 35416.0, 35422, 'No', 6.0, 0.006, 'Win', 1, 0.994, 35421, 490, 0.994
4, 35426, 1473, 'icon06.jpg', 36900, 5000.0, 41901, 516, 42419, 1000, 43422, 540, 43966, 10000.0, 48966.0, 48341, 'No', -625.0, 0.125, 'Loss', -5, -0.625, 48341, 505, 0.369
5, 48346, 1473, 'icon10.jpg', 49822, 5000.0, 54826, 498, 55326, 1000, 56329, 424, 56756, 10000.0, 61756.0, 61105, 'No', -651.0, 0.1302, 'Win', 5, 4.349, 61104, 497, 4.718
6, 61109, 1457, 'icon10.jpg', 62569, 5000.0, 67573, 547, 68124, 1000, 69129, 493, 69623, 10000.0, 74623.0, 74331, 'No', -292.0, 0.0584, 'Win', 5, 4.708, 74330, 460, 9.426
7, 74334, 1577, 'icon10.jpg', 75914, 5000.0, 80917, 487, 81405, 1000, 82406, 491, 82900, 10000.0, 87900.0, 88429, 'No', 529.0, 0.1058, 'Win', 5, 4.471, 88429, 503, 13.897
8, 88433, 1544, 'icon06.jpg', 89980, 5000.0, 94981, 503, 95486, 1000, 96488, 500, 96993, 10000.0, 101993.0, 102223, 'No', 230.0, 0.046, 'Loss', -5, -0.23000000000000043, 102222, 460, 13.667
9, 102227, 1503, 'icon10.jpg', 103731, 5000.0, 108733, 511, 109248, 1000, 110252, 503, 110758, 10000.0, 115758.0, 115703, 'No', -55.0, 0.011, 'Win', 5, 4.945, 115701, 450, 18.612000000000002
10, 115707, 1491, 'icon51.jpg', 117198, 5000.0, 122204, 465, 122671, 1000, 123674, 490, 124166, 10000.0, 129166.0, 129032, 'No', -134.0, 0.0268, 'Neutral', 0, 0, 129031, 483, 18.612000000000002
11, 129037, 1547, 'icon51.jpg', 130587, 5000.0, 135590, 512, 136105, 1000, 137109, 480, 137590, 10000.0, 142590.0, 142153, 'No', -437.0, 0.0874, 'Neutral', 0, 0, 142153, 491, 18.612000000000002
12, 142157, 1523, 'icon02.jpg', 143681, 1000.0, 144685, 460, 145146, 1000, 146147, 507, 146657, 2000.0, 147657.0, 147232, 'No', -425.0, 0.425, 'Win', 1, 0.575, 147231, 498, 19.187
13, 147236, 1533, 'icon02.jpg', 148769, 1000.0, 149773, 528, 150302, 1000, 151305, 484, 151790, 2000.0, 152790.0, 152153, 'No', -637.0, 0.637, 'Win', 1, 0.363, 152152, 500, 19.55
14, 152157, 1486, 'icon06.jpg', 153645, 5000.0, 158647, 487, 159138, 1000, 160141, 488, 160635, 10000.0, 165635.0, 164507, 'No', -1128.0, 0.2256, 'Loss', -5, -1.1280000000000001, 164506, 516, 18.422
