trial number,crosshair (start time - ms),crosshair (duration - ms),icon (filename),display icon (start time - ms),display (duration - ms),wait before (start time - ms),wait before (duration - ms),ready (start time - ms),ready (duration - ms),wait after (start time - ms),wait after (duration - ms),reproduce display (start time - ms),max reproduce display (duration - ms),perfect reproduce time (game time - ms),key down (start time - ms),too late (yes - no),difference time (duration - ms),percent error (fraction),icon category (w - l - n),icon amount (dollars),monetary outcome (dollars),payment display (start time - ms),payment display (duration - ms),running total (dollars)
1, 44603, 1505, 'icon48.jpg', 46109, 1000.0, 47113, 479, 47594, 1000, 48596, 491, 49091, 2000.0, 50091.0, 49938, 'No', -153.0, 0.153, 'Win', 1, 0.847, 49937, 522, 0.847
2, 49941, 1512, 'icon39.jpg', 51455, 3000.0, 54459, 506, 54968, 1000, 55970, 540, 56511, 6000.0, 59511.0, 58702, 'No', -809.0, 0.26966666666666667, 'Neutral', 0, 0, 58701, 478, 0.847
3, 58706, 1493, 'icon34.jpg', 60201, 5000.0, 65204, 539, 65744, 1000, 66746, 513, 67261, 10000.0, 72261.0, 71105, 'No', -1156.0, 0.2312, 'Win', 5, 3.8440000000000003, 71104, 483, 4.691000000000001
4, 71109, 1483, 'icon18.jpg', 72592, 1000.0, 73596, 538, 74136, 1000, 75140, 483, 75626, 2000.0, 76626.0, 76028, 'No', -598.0, 0.598, 'Loss', -1, -0.598, 76027, 496, 4.093000000000001
5, 76033, 1519, 'icon34.jpg', 77552, 5000.0, 82555, 496, 83053, 1000, 84057, 502, 84563, 10000.0, 89563.0, 89150, 'No', -413.0, 0.0826, 'Win', 5, 4.587, 89149, 490, 8.68
6, 89154, 1578, 'icon17.jpg', 90734, 3000.0, 93736, 521, 94260, 1000, 95264, 500, 95766, 6000.0, 98766.0, 98532, 'No', -234.0, 0.078, 'Loss', -3, -0.23399999999999999, 98531, 513, 8.446
7, 98536, 1519, 'icon34.jpg', 100057, 5000.0, 105062, 525, 105589, 1000, 106592, 510, 107105, 10000.0, 112105.0, 112325, 'No', 220.0, 0.044, 'Win', 5, 4.779999999999999, 112324, 507, 13.225999999999999
8, 112329, 1515, 'icon08.jpg', 113844, 1000.0, 114848, 502, 115352, 1000, 116355, 480, 116837, 2000.0, 117837.0, 117397, 'No', -440.0, 0.44, 'Neutral', 0, 0, 117396, 480, 13.225999999999999
9, 117400, 1496, 'icon48.jpg', 118897, 1000.0, 119899, 514, 120416, 1000, 121420, 480, 121901, 2000.0, 122901.0, 122318, 'No', -583.0, 0.583, 'Win', 1, 0.417, 122317, 483, 13.642999999999999
10, 122321, 1520, 'icon18.jpg', 123842, 1000.0, 124845, 483, 125330, 1000, 126334, 495, 126831, 2000.0, 127831.0, 127547, 'No', -284.0, 0.284, 'Loss', -1, -0.28400000000000003, 127546, 480, 13.358999999999998
11, 127550, 1474, 'icon20.jpg', 129024, 5000.0, 134028, 490, 134520, 1000, 135526, 504, 136034, 10000.0, 141034.0, 141081, 'No', 47.0, 0.0094, 'Neutral', 0, 0, 141080, 464, 13.358999999999998
